"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"No, ninguna dificultad",0.405,0.422,0.387,0.494,0.294,0.481,0.452,0.329,0.385,0.536,0.501,0.339,0.215,0.393,0.33,0.687,0.273,0.42,0.422,0.329,0.484,0.177,0.551,0.606,0.349,0.098,0.168
"Alguna dificultad ocasional",0.325,0.289,0.366,0.175,0.423,0.297,0.348,0.392,0.294,0.295,0.324,0.251,0.616,0.289,0.406,0.294,0.502,0.318,0.309,0.327,0.327,0.471,0.298,0.24,0.312,0.589,0.39
"Sí, dificultades frecuentes",0.27,0.289,0.247,0.331,0.283,0.222,0.2,0.279,0.321,0.169,0.175,0.41,0.169,0.318,0.264,0.019,0.225,0.262,0.269,0.344,0.189,0.352,0.151,0.154,0.339,0.313,0.442
