"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.437,0.359,0.521,0.316,0.393,0.542,0.593,0.442,0.391,0.509,0.632,0.199,0.451,0.408,0.292,0.875,0.017,0.465,0.424,0.335,0.479,0.458,0.753,0.734,0.097,0.03,0.106
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.133,0.09,0.157,0.108,0.075,0.111,0.135,0.108,0.092,0.064,0.209,0.073,0.137,0.162,0.01,0.228,0.141,0.082,0.062,0.188,0.146,0.042,0.044,0.503,0.145,0.076
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.192,0.184,0.2,0.172,0.177,0.229,0.206,0.218,0.199,0.146,0.171,0.213,0.088,0.295,0.14,0.073,0.1,0.218,0.169,0.242,0.216,0.158,0.166,0.128,0.238,0.405,0.165
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.133,0.16,0.104,0.12,0.182,0.112,0.048,0.118,0.141,0.138,0.104,0.183,0.129,0.099,0.274,0.03,0.483,0.081,0.17,0.27,0.035,0.088,0.015,0.039,0.087,0.392,0.346
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0.006,0.006,0,0.012,0.001,0.01,0,0.007,0.014,0.007,0,0,0.005,0,0.006,0.022,0.015,0.004,0.009,0,0,0.003,0.04,0,0.016,0.004
"En blanco",0.052,0.082,0.021,0.11,0.062,0.004,0.008,0.025,0.072,0.052,0.013,0.059,0.173,0.014,0.069,0.006,0.109,0.028,0.084,0.004,0.028,0.024,0.003,0.009,0,0,0.132
"No sabe",0.067,0.076,0.058,0.125,0.066,0.037,0.024,0.062,0.082,0.049,0.009,0.137,0.086,0.042,0.063,0,0.041,0.052,0.067,0.078,0.054,0.126,0.018,0.006,0.075,0.012,0.171
