"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Mucho",0.454,0.498,0.41,0.348,0.51,0.465,0.496,0.405,0.453,0.53,0.502,0.473,0.566,0.451,0.531,0.521,0.494,0.505,0.461,0.385,0.392,0.417,0.528,0.581,0.513,0.422,0.474
"Bastante",0.253,0.264,0.243,0.327,0.21,0.221,0.277,0.177,0.301,0.281,0.246,0.326,0.173,0.28,0.274,0.368,0.238,0.194,0.276,0.202,0.301,0.275,0.246,0.288,0.271,0.469,0.234
"Poco",0.172,0.146,0.197,0.159,0.193,0.197,0.092,0.248,0.146,0.102,0.153,0.143,0.137,0.168,0.138,0.111,0.169,0.196,0.153,0.238,0.197,0.114,0.157,0.061,0.158,0.094,0.196
"Nada",0.091,0.083,0.099,0.119,0.073,0.094,0.081,0.146,0.059,0.066,0.088,0.036,0.113,0.085,0.057,0,0.048,0.094,0.072,0.148,0.095,0.134,0.064,0.042,0.044,0.011,0.083
"No sabe",0.03,0.009,0.051,0.047,0.014,0.023,0.054,0.024,0.041,0.021,0.011,0.022,0.011,0.016,0,0,0.051,0.011,0.038,0.027,0.015,0.06,0.005,0.028,0.014,0.004,0.013
