"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P06","Tiene Decidido que va a ir a votar",0.914,0.935,0.861
"P06","Tiene dudas sobre si va a ir a  votar",0.042,0.065,0.105
"P06","Tiene Decidido que no va a ir a votar",0.044,0,0.034
"P07","Mucho",0.628,0.536,0.388
"P07","Bastante",0.225,0.211,0.275
"P07","Poco",0.08,0.201,0.23
"P07","Nada",0.049,0.035,0.107
"P07","No sabe",0.018,0.017,0
"P08","Siempre",0.339,0.265,0.227
"P08","Casi siempre",0.29,0.294,0.294
"P08","Casi nunca",0.255,0.338,0.325
"P08","Nunca, pero esta es una excepción",0.116,0.103,0.154
"P13","Unión por la Patria",0.663,0.392,0.224
"P13","Juntos por el Cambio ",0.066,0.116,0.136
"P13","Juntos Somos Río Negro",0.092,0.065,0.22
"P13","Liberales",0.113,0.258,0.349
"P13","Izquierda",0.015,0.054,0.018
"P13","Otro",0.012,0.009,0.008
"P13","No sabe",0.039,0.106,0.045
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.702,0.419,0.286
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.062,0.118,0.15
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.053,0.029
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.166,0.345,0.503
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.009,0.003
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.005,0.001,0.021
"P14","En blanco",0,0.001,0.002
"P14","No sabe",0.001,0.054,0.006
"P18","Totalmente seguro",0.809,0.745,0.621
"P18","Bastante seguro",0.113,0.116,0.178
"P18","Algo seguro",0.029,0.085,0.1
"P18","Para nada seguro",0.049,0.054,0.101
"P22","Sí",0.285,0.51,0.705
"P22","No",0.715,0.49,0.295
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.179,0.1,0.03
