"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco"
"P26","Totalmente seguro",0.833,0.775,0.825,0.526,0.459
"P26","Bastante seguro",0.077,0.12,0.047,0.08,0.186
"P26","Algo seguro",0.05,0.063,0.085,0.126,0.145
"P26","Para nada seguro",0.04,0.042,0.043,0.268,0.21
"P27","Tiene Decidido que va a ir a votar",0.966,0.909,0.946,0.827,0.829
"P27","Tiene dudas sobre si va a ir a  votar",0.028,0.078,0.037,0.117,0.095
"P27","Tiene Decidido que no va a ir a votar",0.006,0.013,0.017,0.056,0.076
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.178,0.209,0.364,0.332
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.741,0.38,0.176,0.298
"P28","En blanco",0.021,0.035,0.246,0.112,0.146
"P28","No sabe",0.027,0.046,0.165,0.348,0.224
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.233,0.727,0.202,0.206,0.228
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.159,0.688,0.134,0.259
"P29","En blanco",0.469,0.068,0.057,0.358,0.211
"P29","No sabe",0.221,0.046,0.053,0.302,0.302
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.191,0.185,0.401,0.329
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.358,0.71,0.181,0.311
"P30","En blanco",0.038,0.266,0.06,0.219,0.18
"P30","No sabe",0.026,0.185,0.045,0.199,0.18
"P38","Inflación",0.433,0.329,0.303,0.224,0.251
"P38","Desempleo",0.086,0.058,0.074,0.16,0.063
"P38","Corrupción",0.114,0.407,0.407,0.317,0.378
"P38","Inseguridad",0.144,0.13,0.16,0.055,0.158
"P38","Precio del dólar",0.061,0.006,0.007,0.004,0.068
"P38","Pobreza",0.078,0.027,0.023,0.053,0.046
"P38","Narcotráfico",0.014,0.004,0.011,0.013,0.022
"P38","Tarifas",0.003,0.004,0,0.005,0
"P38","Otro",0.052,0.025,0.01,0.148,0.003
"P38","No sabe",0.015,0.01,0.005,0.021,0.011
