"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.797,0.748,0.771,0.5,0.481,0.481
"P26","Bastante seguro",0.082,0.114,0.062,0.092,0.208,0.237
"P26","Algo seguro",0.057,0.062,0.084,0.119,0.141,0.101
"P26","Para nada seguro",0.064,0.076,0.083,0.289,0.17,0.181
"P27","Tiene Decidido que va a ir a votar",0.943,0.917,0.941,0.803,0.843,0.66
"P27","Tiene dudas sobre si va a ir a  votar",0.05,0.06,0.046,0.14,0.145,0.08
"P27","Tiene Decidido que no va a ir a votar",0.007,0.023,0.013,0.057,0.012,0.26
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.89,0.141,0.149,0.346,0.36,0.137
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.777,0.394,0.171,0.329,0.087
"P28","En blanco",0.019,0.024,0.26,0.13,0.068,0.528
"P28","No sabe",0.044,0.058,0.197,0.353,0.243,0.248
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.791,0.125,0.194,0.269,0.051
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.121,0.748,0.121,0.239,0.247
"P29","En blanco",0.455,0.033,0.058,0.334,0.156,0.446
"P29","No sabe",0.241,0.055,0.069,0.351,0.336,0.256
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.888,0.166,0.096,0.311,0.378,0.101
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.31,0.824,0.194,0.305,0.264
"P30","En blanco",0.042,0.289,0.033,0.253,0.146,0.451
"P30","No sabe",0.029,0.235,0.047,0.242,0.171,0.184
"P38","Inflación",0.432,0.3,0.325,0.194,0.17,0.124
"P38","Desempleo",0.088,0.061,0.069,0.153,0.067,0.054
"P38","Corrupción",0.106,0.425,0.428,0.353,0.457,0.396
"P38","Inseguridad",0.161,0.135,0.138,0.034,0.13,0.135
"P38","Precio del dólar",0.056,0.007,0.006,0.005,0.129,0.076
"P38","Pobreza",0.077,0.022,0.019,0.059,0.04,0.115
"P38","Narcotráfico",0.013,0.011,0.001,0.016,0,0.086
"P38","Tarifas",0.003,0.004,0,0,0,0
"P38","Otro",0.048,0.025,0.009,0.186,0,0.014
"P38","No sabe",0.016,0.01,0.005,0,0.007,0
