"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.733,0.062,0.098,0.073
"P10","Juntos por el Cambio",0.099,0.613,0.078,0.066
"P10","De los liberales libertarios",0.082,0.263,0.627,0.433
"P10","De la Izquierda",0.042,0.02,0.079,0.102
"P10","Hacemos por nuestro país",0.008,0.011,0.015,0.033
"P10","Otro",0.009,0.017,0.024,0.077
"P10","En blanco",0.006,0.002,0.071,0.019
"P10","No sabe",0.021,0.012,0.008,0.197
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.81,0.066,0.079,0.153
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.071,0.612,0.068,0.091
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.262,0.681,0.404
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.016,0.041,0.098
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.022,0.017,0.054
"P20","En blanco",0.003,0.003,0.076,0.022
"P20","No sabe",0.018,0.019,0.038,0.178
"P26","Totalmente seguro",0.82,0.748,0.788,0.49
"P26","Bastante seguro",0.075,0.122,0.056,0.069
"P26","Algo seguro",0.058,0.074,0.05,0.138
"P26","Para nada seguro",0.047,0.056,0.106,0.303
"P27","Tiene Decidido que va a ir a votar",0.956,0.92,0.897,0.802
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.061,0.074,0.178
"P27","Tiene Decidido que no va a ir a votar",0.012,0.019,0.029,0.02
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.282,0.618,0.085,0.09
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.354,0.63,0.409
"P29","En blanco",0.438,0.011,0.253,0.064
"P29","No sabe",0.224,0.017,0.032,0.437
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.881,0.082,0.086,0.164
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.506,0.725,0.498
"P30","En blanco",0.045,0.232,0.152,0.095
"P30","No sabe",0.028,0.18,0.037,0.243
"P38","Inflación",0.398,0.3,0.415,0.27
"P38","Desempleo",0.11,0.05,0.08,0.042
"P38","Corrupción",0.121,0.464,0.345,0.361
"P38","Inseguridad",0.162,0.117,0.103,0.171
"P38","Precio del dólar",0.053,0.013,0.01,0.008
"P38","Pobreza",0.076,0.022,0.028,0.018
"P38","Narcotráfico",0.012,0.002,0,0.041
"P38","Tarifas",0.004,0.003,0,0
"P38","Otro",0.05,0.022,0.018,0.046
"P38","No sabe",0.014,0.007,0.001,0.043
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.741,0.071,0.103,0.112
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.093,0.594,0.107,0.121
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.086,0.245,0.611,0.35
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.026,0.02,0.045,0.123
"GOBERNADOR","En blanco",0.036,0.051,0.096,0.116
"GOBERNADOR","No sabe",0.018,0.019,0.038,0.178
"CORTA_GOBERNADOR","Si",0.117,0.189,0.133,0.221
"CORTA_GOBERNADOR","No",0.883,0.811,0.867,0.779
"P10_imputada","Unión por la Patria",0.746,0.064,0.101,0.133
"P10_imputada","Juntos por el Cambio",0.104,0.621,0.078,0.096
"P10_imputada","De los liberales libertarios",0.084,0.264,0.629,0.498
"P10_imputada","De la Izquierda",0.043,0.021,0.079,0.119
"P10_imputada","Hacemos por nuestro país",0.008,0.011,0.018,0.034
"P10_imputada","Otro",0.009,0.017,0.024,0.101
"P10_imputada","En blanco",0.006,0.002,0.071,0.019
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.822,0.067,0.102,0.208
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.073,0.622,0.074,0.155
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.066,0.27,0.685,0.448
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.016,0.045,0.104
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.022,0.017,0.054
"P20_imputada","En blanco",0.003,0.003,0.077,0.031
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.754,0.072,0.108,0.134
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.094,0.606,0.111,0.143
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.088,0.25,0.631,0.417
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.027,0.02,0.05,0.155
"GOBERNADOR_imputada","En blanco",0.037,0.052,0.1,0.151
