"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.84,0.174,0.155,0.278,0.232,0.206,0.273,0.306
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.058,0.703,0.13,0.077,0.094,0.052,0.072,0.069
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.065,0.081,0.668,0.199,0.106,0.306,0.069,0.156
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.01,0.006,0.015,0.374,0,0.142,0.086,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.008,0.009,0.017,0.021,0.559,0.059,0.017,0.012
"P20","En blanco",0.006,0.012,0.002,0,0,0.112,0.32,0.045
"P20","No sabe",0.013,0.015,0.013,0.051,0.009,0.123,0.163,0.412
"P26","Totalmente seguro",0.839,0.757,0.793,0.555,0.495,0.481,0.421,0.244
"P26","Bastante seguro",0.077,0.112,0.086,0.12,0.211,0.072,0.073,0.043
"P26","Algo seguro",0.052,0.064,0.08,0.039,0.18,0.227,0.06,0.177
"P26","Para nada seguro",0.032,0.067,0.041,0.286,0.114,0.22,0.446,0.536
"P27","Tiene Decidido que va a ir a votar",0.95,0.934,0.904,0.897,0.939,0.94,0.541,0.78
"P27","Tiene dudas sobre si va a ir a  votar",0.035,0.049,0.084,0.075,0.035,0.003,0.352,0.171
"P27","Tiene Decidido que no va a ir a votar",0.015,0.017,0.012,0.028,0.026,0.057,0.107,0.049
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.911,0.191,0.182,0.465,0.312,0.225,0.261,0.305
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.756,0.374,0.146,0.302,0.271,0.066,0.106
"P28","En blanco",0.022,0.027,0.249,0.158,0.111,0.108,0.515,0.019
"P28","No sabe",0.018,0.026,0.195,0.231,0.275,0.396,0.158,0.57
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.222,0.785,0.155,0.301,0.432,0.191,0.082,0.093
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.122,0.729,0.175,0.148,0.233,0,0.2
"P29","En blanco",0.493,0.046,0.045,0.291,0.189,0.273,0.617,0.04
"P29","No sabe",0.22,0.047,0.071,0.233,0.231,0.303,0.301,0.667
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.885,0.205,0.152,0.399,0.324,0.251,0.274,0.357
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.294,0.785,0.205,0.303,0.373,0,0.246
"P30","En blanco",0.046,0.282,0.044,0.171,0.185,0.168,0.556,0.017
"P30","No sabe",0.02,0.219,0.019,0.225,0.188,0.208,0.17,0.38
"P38","Inflación",0.41,0.305,0.346,0.371,0.208,0.178,0.093,0.332
"P38","Desempleo",0.097,0.084,0.042,0.109,0.035,0.074,0.142,0.103
"P38","Corrupción",0.102,0.418,0.394,0.306,0.529,0.523,0.386,0.252
"P38","Inseguridad",0.161,0.131,0.14,0.043,0.113,0.133,0.258,0.135
"P38","Precio del dólar",0.057,0.008,0.019,0.004,0,0.047,0,0.039
"P38","Pobreza",0.077,0.025,0.022,0.057,0.081,0.008,0.121,0.027
"P38","Narcotráfico",0.014,0.002,0.01,0.011,0.02,0,0,0.03
"P38","Tarifas",0.005,0.003,0.001,0,0,0,0,0
"P38","Otro",0.056,0.022,0.021,0.081,0.014,0.022,0,0.018
"P38","No sabe",0.021,0.002,0.005,0.018,0,0.015,0,0.064
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.793,0.126,0.139,0.243,0.114,0.203,0.227,0.204
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.088,0.689,0.144,0.066,0.059,0.103,0.013,0.075
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.061,0.113,0.636,0.144,0.11,0.15,0.045,0.09
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.014,0.013,0.018,0.453,0.037,0.174,0.114,0
"GOBERNADOR","En blanco",0.031,0.043,0.049,0.042,0.67,0.223,0.408,0.186
"GOBERNADOR","No sabe",0.013,0.016,0.014,0.052,0.01,0.147,0.193,0.445
"CORTA_GOBERNADOR","Si",0.126,0.211,0.284,0.253,0.284,0.249,0.207,0.282
"CORTA_GOBERNADOR","No",0.874,0.789,0.716,0.747,0.716,0.751,0.793,0.718
