"var","categoria","Si","No"
"P10","Unión por la Patria",0.237,0.414
"P10","Juntos por el Cambio",0.276,0.261
"P10","De los liberales libertarios",0.313,0.199
"P10","De la Izquierda",0.051,0.038
"P10","Hacemos por nuestro país",0.022,0.014
"P10","Otro",0.03,0.023
"P10","En blanco",0.019,0.018
"P10","No sabe",0.052,0.033
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.436,0.434
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.261,0.242
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.303,0.197
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0.037
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0.026
"P20","En blanco",0,0.02
"P20","No sabe",0,0.044
"P26","Totalmente seguro",0.602,0.784
"P26","Bastante seguro",0.156,0.08
"P26","Algo seguro",0.148,0.055
"P26","Para nada seguro",0.094,0.081
"P27","Tiene Decidido que va a ir a votar",0.855,0.937
"P27","Tiene dudas sobre si va a ir a  votar",0.118,0.046
"P27","Tiene Decidido que no va a ir a votar",0.027,0.017
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.383,0.518
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.401,0.307
"P28","En blanco",0.074,0.086
"P28","No sabe",0.142,0.089
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.341,0.362
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.367,0.212
"P29","En blanco",0.157,0.262
"P29","No sabe",0.135,0.164
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.373,0.507
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.436,0.272
"P30","En blanco",0.117,0.118
"P30","No sabe",0.074,0.103
"P38","Inflación",0.338,0.36
"P38","Desempleo",0.09,0.076
"P38","Corrupción",0.289,0.276
"P38","Inseguridad",0.185,0.138
"P38","Precio del dólar",0.003,0.037
"P38","Pobreza",0.051,0.049
"P38","Narcotráfico",0.022,0.009
"P38","Tarifas",0.002,0.003
"P38","Otro",0.006,0.041
"P38","No sabe",0.014,0.011
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.203,0.434
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.336,0.241
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.259,0.199
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.045,0.036
"GOBERNADOR","En blanco",0.157,0.046
"GOBERNADOR","No sabe",0,0.044
