"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.245,0.107,0.794,0.543
"P10","Juntos por el Cambio",0.586,0.135,0.051,0.078
"P10","De los liberales libertarios",0.096,0.672,0.041,0.098
"P10","De la Izquierda",0.037,0.032,0.051,0.063
"P10","Hacemos por nuestro país",0.015,0.008,0.009,0.018
"P10","Otro",0.009,0.017,0.019,0.033
"P10","En blanco",0.003,0,0.029,0.021
"P10","No sabe",0.009,0.029,0.006,0.146
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.298,0.119,0.83,0.631
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.579,0.134,0.035,0.05
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.069,0.688,0.051,0.064
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.016,0.015,0.037,0.065
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.023,0.014,0.047
"P20","En blanco",0.002,0.012,0.021,0.013
"P20","No sabe",0.019,0.009,0.012,0.13
"P26","Totalmente seguro",0.77,0.78,0.862,0.583
"P26","Bastante seguro",0.105,0.081,0.059,0.107
"P26","Algo seguro",0.073,0.088,0.038,0.086
"P26","Para nada seguro",0.052,0.051,0.041,0.224
"P27","Tiene Decidido que va a ir a votar",0.934,0.906,0.962,0.864
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.072,0.026,0.117
"P27","Tiene Decidido que no va a ir a votar",0.018,0.022,0.012,0.019
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.383,0.113,0.867,0.681
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.571,0.487,0.015,0.036
"P28","En blanco",0.021,0.235,0.093,0.018
"P28","No sabe",0.025,0.165,0.025,0.265
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.43,0.072,0.828,0.686
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.209,0.838,0.039,0.079
"P30","En blanco",0.2,0.053,0.125,0.037
"P30","No sabe",0.161,0.037,0.008,0.198
"P38","Inflación",0.323,0.346,0.414,0.352
"P38","Desempleo",0.078,0.05,0.094,0.118
"P38","Corrupción",0.351,0.396,0.131,0.149
"P38","Inseguridad",0.142,0.153,0.109,0.183
"P38","Precio del dólar",0.02,0.026,0.047,0.042
"P38","Pobreza",0.037,0.011,0.096,0.057
"P38","Narcotráfico",0.005,0.004,0.014,0.024
"P38","Tarifas",0.002,0.003,0.007,0
"P38","Otro",0.033,0.007,0.074,0.037
"P38","No sabe",0.009,0.004,0.014,0.038
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.262,0.131,0.769,0.56
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.548,0.182,0.075,0.078
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.115,0.599,0.048,0.068
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.021,0.021,0.049,0.068
"GOBERNADOR","En blanco",0.035,0.059,0.047,0.096
"GOBERNADOR","No sabe",0.019,0.008,0.012,0.13
"CORTA_GOBERNADOR","Si",0.145,0.237,0.097,0.129
"CORTA_GOBERNADOR","No",0.855,0.763,0.903,0.871
"P10_imputada","Unión por la Patria",0.246,0.116,0.798,0.607
"P10_imputada","Juntos por el Cambio",0.593,0.138,0.051,0.111
"P10_imputada","De los liberales libertarios",0.097,0.686,0.041,0.124
"P10_imputada","De la Izquierda",0.037,0.032,0.051,0.075
"P10_imputada","Hacemos por nuestro país",0.015,0.008,0.011,0.018
"P10_imputada","Otro",0.009,0.02,0.019,0.044
"P10_imputada","En blanco",0.003,0,0.029,0.021
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.303,0.123,0.837,0.683
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.586,0.136,0.036,0.092
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.076,0.691,0.051,0.094
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.016,0.015,0.041,0.066
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.023,0.014,0.047
"P20_imputada","En blanco",0.002,0.012,0.021,0.018
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.268,0.133,0.777,0.638
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.558,0.184,0.075,0.089
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.118,0.602,0.048,0.077
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.021,0.021,0.053,0.078
"GOBERNADOR_imputada","En blanco",0.035,0.06,0.047,0.118
