"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.447,0.407,0.482,0.426,0.481,0.46,0.38,0.456,0.456,0.416,0.726,0.145,0.322,0.463,0.415,0.79,0.63,0.063,0.17,0.116
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.257,0.23,0.281,0.172,0.211,0.32,0.413,0.268,0.22,0.308,0.092,0.532,0.284,0.255,0.262,0.105,0.136,0.802,0.521,0.085
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.227,0.302,0.161,0.324,0.236,0.179,0.121,0.214,0.247,0.209,0.138,0.278,0.281,0.206,0.268,0.076,0.156,0.114,0.159,0.752
"Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.03,0.028,0.032,0.047,0.031,0.012,0.028,0.022,0.039,0.026,0.017,0.011,0.042,0.034,0.022,0.015,0.037,0,0.072,0.007
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0.013,0.03,0.017,0.025,0.016,0.032,0.017,0.023,0.029,0.02,0.017,0.065,0.023,0.02,0.01,0.029,0.019,0.037,0.015
"En blanco",0.017,0.02,0.014,0.014,0.016,0.013,0.026,0.023,0.015,0.012,0.007,0.017,0.006,0.019,0.013,0.004,0.012,0.002,0.041,0.025
