"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.47,0.485,0.15,0.46,0.73,0.646,0.558,0.626,0.605,0.639
"P10","Juntos por el Cambio",0.222,0.266,0.391,0.238,0.066,0.135,0.06,0.291,0.15,0.043
"P10","De los liberales libertarios",0.213,0.112,0.311,0.215,0.133,0.101,0.21,0.083,0.121,0.081
"P10","De la Izquierda",0.045,0.057,0.048,0.013,0.005,0.051,0.047,0,0.093,0.057
"P10","Hacemos por nuestro país",0.008,0.006,0.026,0.011,0,0.022,0.027,0,0.005,0
"P10","Otro",0.008,0.015,0.031,0.015,0.024,0.003,0,0,0.01,0.019
"P10","En blanco",0.003,0.017,0.013,0.017,0,0.023,0,0,0,0
"P10","No sabe",0.031,0.042,0.03,0.031,0.042,0.019,0.098,0,0.016,0.161
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.544,0.501,0.16,0.475,0.785,0.714,0.566,0.521,0.599,0.656
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.215,0.203,0.403,0.235,0.06,0.12,0.278,0.479,0.179,0.231
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.187,0.173,0.312,0.2,0.031,0.082,0.013,0,0.048,0.1
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.017,0.057,0.036,0.007,0.005,0.037,0.047,0,0.147,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.018,0.034,0.019,0.081,0.017,0,0,0,0.013
"P20","En blanco",0.004,0.008,0.016,0.011,0.027,0.027,0,0,0.004,0
"P20","No sabe",0.023,0.04,0.039,0.053,0.011,0.003,0.096,0,0.023,0
"P26","Totalmente seguro",0.8,0.658,0.746,0.761,0.81,0.794,0.862,0.917,0.923,0.709
"P26","Bastante seguro",0.101,0.123,0.087,0.061,0.077,0.094,0.013,0.083,0.028,0.091
"P26","Algo seguro",0.056,0.109,0.089,0.085,0.016,0.049,0.027,0,0.023,0.039
"P26","Para nada seguro",0.043,0.11,0.078,0.093,0.097,0.063,0.098,0,0.026,0.161
"P27","Tiene Decidido que va a ir a votar",0.939,0.948,0.939,0.881,0.972,0.981,0.645,0.917,0.966,0.83
"P27","Tiene dudas sobre si va a ir a  votar",0.042,0.043,0.045,0.105,0.028,0,0.308,0.083,0.023,0.161
"P27","Tiene Decidido que no va a ir a votar",0.019,0.009,0.016,0.014,0,0.019,0.047,0,0.011,0.009
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.548,0.664,0.214,0.557,0.817,0.765,0.585,0.626,0.654,0.527
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.282,0.204,0.562,0.274,0.135,0.153,0.06,0.374,0.196,0.174
"P28","En blanco",0.103,0.087,0.109,0.064,0.026,0.05,0,0,0.043,0.009
"P28","No sabe",0.067,0.045,0.115,0.105,0.022,0.032,0.355,0,0.107,0.29
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.327,0.345,0.458,0.36,0.232,0.276,0.193,0.219,0.318,0.236
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.232,0.146,0.341,0.255,0.197,0.055,0.093,0.219,0.046,0.062
"P29","En blanco",0.29,0.288,0.118,0.189,0.366,0.491,0.346,0.562,0.486,0.267
"P29","No sabe",0.151,0.221,0.083,0.196,0.205,0.178,0.368,0,0.15,0.435
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.554,0.603,0.226,0.502,0.85,0.748,0.841,0.626,0.648,0.716
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.296,0.166,0.452,0.255,0.07,0.071,0,0.156,0.152,0.041
"P30","En blanco",0.082,0.125,0.17,0.128,0.019,0.156,0.061,0,0.126,0.011
"P30","No sabe",0.068,0.106,0.152,0.115,0.061,0.025,0.098,0.218,0.074,0.232
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.505,0.457,0.17,0.413,0.785,0.668,0.526,0.436,0.591,0.564
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.237,0.191,0.377,0.233,0.047,0.142,0.089,0.479,0.177,0.229
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.175,0.195,0.301,0.23,0.044,0.096,0.228,0,0.059,0.088
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.023,0.075,0.041,0.014,0.005,0.04,0.047,0.085,0.146,0.07
"GOBERNADOR","En blanco",0.037,0.042,0.072,0.057,0.108,0.051,0.014,0,0.004,0.049
"GOBERNADOR","No sabe",0.023,0.04,0.039,0.053,0.011,0.003,0.096,0,0.023,0
"CORTA_GOBERNADOR","Si",0.122,0.15,0.134,0.166,0.013,0.134,0.269,0.085,0.022,0.151
"CORTA_GOBERNADOR","No",0.878,0.85,0.866,0.834,0.987,0.866,0.731,0.915,0.978,0.849
"P10_imputada","Unión por la Patria",0.48,0.508,0.16,0.477,0.76,0.661,0.558,0.626,0.605,0.639
"P10_imputada","Juntos por el Cambio",0.238,0.277,0.395,0.242,0.066,0.135,0.158,0.291,0.166,0.043
"P10_imputada","De los liberales libertarios",0.217,0.117,0.32,0.225,0.145,0.105,0.21,0.083,0.121,0.242
"P10_imputada","De la Izquierda",0.045,0.06,0.054,0.013,0.005,0.051,0.047,0,0.093,0.057
"P10_imputada","Hacemos por nuestro país",0.009,0.006,0.027,0.011,0,0.022,0.027,0,0.005,0
"P10_imputada","Otro",0.008,0.015,0.031,0.015,0.024,0.003,0,0,0.01,0.019
