"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.355,0.352,0.358,0.363,0.37,0.338,0.335,0.324,0.365,0.378,0.417,0.329,0.155,0.348,0.369,0.401,0.395,0.263,0.338,0.379
"Desempleo",0.081,0.069,0.093,0.075,0.085,0.085,0.075,0.089,0.099,0.043,0.104,0.046,0.18,0.073,0.097,0.111,0.117,0.048,0.108,0.042
"Corrupción",0.277,0.291,0.264,0.284,0.251,0.278,0.326,0.216,0.301,0.31,0.14,0.414,0.292,0.272,0.286,0.133,0.178,0.465,0.348,0.395
"Inseguridad",0.143,0.146,0.14,0.136,0.149,0.138,0.144,0.218,0.123,0.082,0.154,0.129,0.197,0.149,0.13,0.143,0.203,0.147,0.082,0.121
"Precio del dólar",0.031,0.033,0.03,0.024,0.035,0.029,0.036,0.032,0.035,0.025,0.048,0.016,0.058,0.038,0.018,0.051,0.015,0.013,0.052,0.015
"Pobreza",0.049,0.036,0.06,0.047,0.063,0.042,0.027,0.051,0.029,0.079,0.065,0.028,0.011,0.048,0.05,0.08,0.052,0.016,0.027,0.021
"Narcotráfico",0.01,0.009,0.011,0.014,0.001,0.012,0.022,0.02,0.004,0.008,0.011,0.008,0.024,0.011,0.009,0.011,0.017,0.014,0,0
"Tarifas",0.003,0.003,0.003,0,0.003,0.005,0.004,0,0.006,0.003,0.004,0.003,0,0.004,0.002,0.004,0.003,0.005,0,0
"Otro",0.038,0.04,0.035,0.032,0.031,0.063,0.025,0.026,0.032,0.06,0.043,0.018,0.081,0.041,0.03,0.053,0.017,0.029,0.042,0.008
"No sabe",0.013,0.021,0.006,0.025,0.012,0.01,0.006,0.024,0.006,0.012,0.014,0.009,0.002,0.016,0.009,0.013,0.003,0,0.003,0.019
