"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Siempre",0.212,0.217,0.207,0.169,0.204,0.211,0.302,0.279,0.185,0.172,0.213,0.19,0.321,0.224,0.224,0.193,0.198,0.238,0.195,0.189,0.178,0.193
"Casi siempre",0.293,0.28,0.305,0.21,0.273,0.379,0.363,0.273,0.3,0.307,0.288,0.327,0.271,0.299,0.253,0.268,0.312,0.28,0.36,0.271,0.295,0.27
"Casi nunca",0.308,0.318,0.299,0.345,0.323,0.291,0.235,0.263,0.313,0.354,0.309,0.31,0.265,0.297,0.336,0.279,0.307,0.294,0.306,0.326,0.332,0.343
"Nunca, pero esta es una excepción",0.187,0.185,0.189,0.276,0.2,0.119,0.1,0.185,0.202,0.167,0.19,0.173,0.143,0.18,0.187,0.26,0.183,0.188,0.139,0.214,0.195,0.194
