"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.457,0.442,0.47,0.42,0.49,0.473,0.415,0.534,0.424,0.411,0.785,0.15,0.473,0.36,0.496,0.417,0.523,0.894,0.159,0.099,0.429,0.267
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.48,0.499,0.463,0.509,0.455,0.472,0.503,0.42,0.499,0.525,0.185,0.787,0.449,0.559,0.46,0.548,0.415,0.088,0.742,0.865,0.339,0.612
"En blanco",0.063,0.059,0.067,0.071,0.055,0.055,0.082,0.046,0.077,0.064,0.03,0.063,0.078,0.081,0.044,0.035,0.062,0.018,0.099,0.036,0.232,0.121
