"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Muy bajas",0.065,0.074,0.058,0.098,0.078,0.05,0.044,0.074,0.041,0.077,0.045,0.065,0.136,0.069,0.043,0.075,0.064,0.076
"Bajas",0.158,0.19,0.132,0.152,0.154,0.161,0.166,0.105,0.123,0.199,0.114,0.189,0.211,0.106,0.093,0.222,0.201,0.163
"Adecuadas",0.295,0.275,0.312,0.266,0.305,0.3,0.291,0.218,0.251,0.349,0.427,0.235,0.128,0.342,0.433,0.221,0.284,0.258
"Altas",0.265,0.229,0.295,0.234,0.238,0.302,0.285,0.227,0.337,0.231,0.294,0.258,0.291,0.267,0.336,0.27,0.201,0.167
"Muy altas",0.217,0.232,0.203,0.25,0.225,0.187,0.214,0.376,0.248,0.144,0.12,0.253,0.234,0.216,0.095,0.212,0.25,0.336
