"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P06","Mucho",0.622,0.82,0.623,0.586,0.569,0.557,0.5,0.544,0.704
"P06","Bastante",0.255,0.126,0.306,0.293,0.294,0.246,0.315,0.213,0.147
"P06","Poco",0.047,0.021,0.051,0.086,0.085,0.151,0.145,0.165,0.033
"P06","Nada",0.032,0.033,0.02,0.032,0.048,0.028,0.035,0.058,0.03
"P06","No sabe",0.044,0,0,0.003,0.004,0.018,0.005,0.02,0.086
"P07","Siempre",0.282,0.263,0.147,0.182,0.16,0.222,0.263,0.34,0.338
"P07","Casi siempre",0.29,0.407,0.457,0.428,0.397,0.371,0.401,0.281,0.477
"P07","Casi nunca",0.398,0.33,0.322,0.312,0.301,0.318,0.266,0.288,0.154
"P07","Nunca, pero esta es una excepción",0.03,0,0.074,0.078,0.142,0.089,0.07,0.091,0.031
"P10","Tiene Decidido que va a ir a votar",0.931,0.957,0.977,0.951,0.968,0.678,0.792,0.862,0.791
"P10","Tiene dudas sobre si va a ir a  votar",0.027,0.01,0.016,0.039,0.019,0.054,0.178,0.11,0.024
"P10","Tiene Decidido que no va a ir a votar",0.042,0.033,0.007,0.01,0.013,0.268,0.03,0.028,0.185
"P13","Unión por la Patria",0.479,0.535,0.434,0.394,0.255,0.184,0.318,0.285,0.154
"P13","Juntos por el Cambio ",0.271,0.247,0.275,0.325,0.336,0.292,0.323,0.271,0.423
"P13","Liberales",0.15,0.116,0.203,0.163,0.2,0.199,0.194,0.171,0.184
"P13","Izquierda",0.032,0.052,0.02,0.059,0.053,0.049,0.048,0.072,0
"P13","Hacemos por Nuestro país",0.054,0.025,0.044,0.025,0.049,0.058,0.03,0.069,0.071
"P13","No sabe",0.014,0.025,0.024,0.034,0.107,0.218,0.087,0.132,0.168
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.493,0.484,0.432,0.409,0.277,0.23,0.352,0.283,0.121
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.293,0.284,0.334,0.361,0.397,0.335,0.353,0.289,0.46
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.167,0.146,0.175,0.161,0.177,0.208,0.205,0.281,0.217
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0,0.013,0.03,0.028,0.026,0.026,0.035,0
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.033,0,0.014,0.016,0.055,0.048,0.018,0.03,0.073
"P14","En blanco",0,0.025,0,0.017,0.029,0.131,0.021,0.04,0.129
"P14","No sabe",0,0.061,0.032,0.006,0.037,0.022,0.025,0.042,0
"P17","Totalmente seguro",0.743,0.764,0.674,0.712,0.678,0.534,0.711,0.636,0.636
"P17","Bastante seguro",0.137,0.065,0.142,0.157,0.136,0.216,0.136,0.163,0.206
"P17","Algo seguro",0.106,0.171,0.136,0.08,0.098,0.156,0.095,0.095,0.158
"P17","Para nada seguro",0.014,0,0.048,0.051,0.088,0.094,0.058,0.106,0
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.036,0.029,0.136,0.084,0.052,0.177,0.1,0.18,0
