"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Si",0.378,0.36,0.397,0.462,0.357,0.341,0.295,0.336,0.417,0.357,0.344,0.271,0.397,0.396,0.449,0.395,0.377,0.328,0.309,0.437,0.227,0.371,0.384
"No",0.622,0.64,0.603,0.538,0.643,0.659,0.705,0.664,0.583,0.643,0.656,0.729,0.603,0.604,0.551,0.605,0.623,0.672,0.691,0.563,0.773,0.629,0.616
