"var","categoria","Si","No"
"P05","Tiene Decidido que va a ir a votar.",0.899,0.856
"P05","Tiene dudas sobre si va a ir a  votar",0.069,0.126
"P05","Tiene Decidido que no va a ir a votar",0.032,0.018
"P06","Mucho",0.508,0.428
"P06","Bastante",0.254,0.308
"P06","Poco",0.166,0.169
"P06","Nada",0.053,0.058
"P06","No sabe",0.019,0.037
"P07","Siempre",0.25,0.155
"P07","Casi siempre",0.319,0.384
"P07","Casi nunca",0.301,0.321
"P07","Nunca, pero esta es una excepción",0.13,0.14
"P13","Totalmente seguro.",0.673,0.721
"P13","Bastante seguro",0.089,0.105
"P13","Algo seguro",0.151,0.099
"P13","Para nada seguro",0.087,0.075
"P21","Muy buena",0.291,0.261
"P21","Buena",0.228,0.229
"P21","Ni buena ni mala",0.275,0.385
"P21","Mala",0.068,0.08
"P21","Muy mala",0.091,0.034
"P21","No sabe",0.047,0.011
"P22","Muy buena",0.167,0.157
"P22","Buena",0.214,0.177
"P22","Ni buena ni mala",0.332,0.364
"P22","Mala",0.166,0.195
"P22","Muy mala",0.077,0.056
"P22","No sabe",0.044,0.051
"P23","Muy buena",0.145,0.11
"P23","Buena",0.145,0.136
"P23","Ni buena ni mala",0.282,0.288
"P23","Mala",0.278,0.295
"P23","Muy mala",0.13,0.158
"P23","No sabe",0.02,0.013
"P24","Muy buena",0.212,0.122
"P24","Buena",0.208,0.222
"P24","Ni buena ni mala",0.252,0.301
"P24","Mala",0.194,0.209
"P24","Muy mala",0.092,0.112
"P24","No sabe",0.042,0.034
"P25","Muy buena",0.101,0.056
"P25","Buena",0.05,0.076
"P25","Ni buena ni mala",0.323,0.36
"P25","Mala",0.277,0.296
"P25","Muy mala",0.201,0.166
"P25","No sabe",0.048,0.046
"P26","Muy buena",0.081,0.055
"P26","Buena",0.099,0.083
"P26","Ni buena ni mala",0.307,0.388
"P26","Mala",0.227,0.234
"P26","Muy mala",0.206,0.184
"P26","No sabe",0.08,0.056
"P27","Si",0.437,0.355
"P27","No",0.563,0.645
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.244,0.304
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.197,0.168
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.433,0.394
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.043
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.015,0.009
"PRESIDENTE","En blanco",0.02,0.02
"PRESIDENTE","No sabe",0.066,0.062
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.138,0.303
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.149,0.155
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.21,0.391
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.155,0.019
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.047,0.043
"DIPUTADOS","En blanco",0.121,0.027
"DIPUTADOS","No sabe",0.18,0.062
"CORTA_DIPUTADOS","Si",0.691,0
"CORTA_DIPUTADOS","No",0.309,1
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.266,0.324
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.205,0.17
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.455,0.422
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.042
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.015,0.009
"PRESIDENTE_imputada","En blanco",0.03,0.033
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.166,0.324
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.197,0.157
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.227,0.418
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.186,0.019
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.057,0.043
"DIPUTADOS_imputada","En blanco",0.167,0.039
