"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.492,0.201,0.103
"P06","Bastante",0.277,0.343,0.092
"P06","Poco",0.161,0.244,0.426
"P06","Nada",0.039,0.163,0.229
"P06","No sabe",0.031,0.049,0.15
"P07","Siempre",0.216,0.198,0.289
"P07","Casi siempre",0.305,0.377,0.096
"P07","Casi nunca",0.329,0.271,0.349
"P07","Nunca, pero esta es una excepción",0.15,0.154,0.266
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.261,0.267,0.2
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.184,0.167,0.304
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.412,0.329,0.187
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.019,0.079,0
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.042,0.007,0.05
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.007,0.059
"P10","En blanco",0.018,0.029,0
"P10","No sabe",0.056,0.115,0.2
"P13","Totalmente seguro.",0.74,0.348,0.227
"P13","Bastante seguro",0.082,0.197,0.156
"P13","Algo seguro",0.116,0.273,0.318
"P13","Para nada seguro",0.062,0.182,0.299
"P17","Si",0.564,0.405,0.682
"P17","No",0.436,0.595,0.318
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",0.142,0.106,0.04
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.154,0.182,0.069
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.205,0.242,0.163
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.148,0.297,0
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.043,0,0.284
"P18","En blanco",0.124,0.078,0.116
"P18","No sabe",0.184,0.095,0.328
"P21","Muy buena",0.288,0.222,0.064
"P21","Buena",0.222,0.283,0.252
"P21","Ni buena ni mala",0.336,0.284,0.147
"P21","Mala",0.076,0.058,0.06
"P21","Muy mala",0.047,0.138,0.45
"P21","No sabe",0.031,0.015,0.027
"P22","Muy buena",0.161,0.197,0.078
"P22","Buena",0.185,0.359,0.021
"P22","Ni buena ni mala",0.361,0.237,0.22
"P22","Mala",0.176,0.161,0.406
"P22","Muy mala",0.066,0.029,0.246
"P22","No sabe",0.051,0.017,0.029
"P23","Muy buena",0.125,0.138,0.189
"P23","Buena",0.133,0.262,0
"P23","Ni buena ni mala",0.294,0.22,0.195
"P23","Mala",0.286,0.264,0.401
"P23","Muy mala",0.145,0.099,0.215
"P23","No sabe",0.017,0.017,0
"P24","Muy buena",0.172,0.19,0
"P24","Buena",0.204,0.32,0.201
"P24","Ni buena ni mala",0.287,0.188,0.155
"P24","Mala",0.201,0.149,0.401
"P24","Muy mala",0.102,0.071,0.214
"P24","No sabe",0.034,0.082,0.029
"P25","Muy buena",0.074,0.118,0.17
"P25","Buena",0.047,0.225,0
"P25","Ni buena ni mala",0.358,0.218,0.142
"P25","Mala",0.285,0.267,0.404
"P25","Muy mala",0.188,0.12,0.284
"P25","No sabe",0.048,0.052,0
"P26","Muy buena",0.059,0.181,0.015
"P26","Buena",0.079,0.194,0.168
"P26","Ni buena ni mala",0.36,0.252,0.119
"P26","Mala",0.23,0.184,0.413
"P26","Muy mala",0.201,0.124,0.285
"P26","No sabe",0.071,0.065,0
"P27","Si",0.419,0.261,0.186
"P27","No",0.581,0.739,0.814
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.263,0.267,0.2
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.187,0.209,0.304
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.415,0.348,0.187
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.007,0.05
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.025,0.059
"PRESIDENTE","En blanco",0.026,0.029,0
"PRESIDENTE","No sabe",0.056,0.115,0.2
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.21,0.261,0.184
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.155,0.118,0.122
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.296,0.3,0.13
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.092,0.201,0
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.044,0,0.23
"DIPUTADOS","En blanco",0.081,0.035,0.061
"DIPUTADOS","No sabe",0.122,0.085,0.273
"CORTA_DIPUTADOS","Si",0.381,0.325,0.464
"CORTA_DIPUTADOS","No",0.619,0.675,0.536
