"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.868,0.909,0.892,0.796,0.88,0.936
"P05","Tiene dudas sobre si va a ir a  votar",0.11,0.073,0.093,0.16,0,0.049
"P05","Tiene Decidido que no va a ir a votar",0.022,0.018,0.015,0.044,0.12,0.015
"P06","Mucho",0.547,0.48,0.396,0.447,0.51,0.61
"P06","Bastante",0.261,0.308,0.319,0.35,0.283,0.106
"P06","Poco",0.129,0.172,0.192,0.118,0.191,0.099
"P06","Nada",0.041,0.029,0.067,0.027,0.016,0.123
"P06","No sabe",0.022,0.011,0.026,0.058,0,0.062
"P07","Siempre",0.215,0.186,0.187,0.148,0.231,0.277
"P07","Casi siempre",0.364,0.399,0.31,0.474,0.419,0.298
"P07","Casi nunca",0.339,0.338,0.322,0.258,0.23,0.268
"P07","Nunca, pero esta es una excepción",0.082,0.077,0.181,0.12,0.12,0.157
"P13","Totalmente seguro.",0.68,0.709,0.734,0.592,0.802,0.675
"P13","Bastante seguro",0.103,0.108,0.098,0.052,0.182,0.035
"P13","Algo seguro",0.135,0.13,0.097,0.231,0,0.178
"P13","Para nada seguro",0.082,0.053,0.071,0.125,0.016,0.112
"P17","Si",0.364,0.583,0.376,0.914,0.596,0.826
"P17","No",0.636,0.417,0.624,0.086,0.404,0.174
"P21","Muy buena",0.295,0.296,0.362,0.172,0.042,0.159
"P21","Buena",0.201,0.259,0.211,0.315,0.306,0.16
"P21","Ni buena ni mala",0.406,0.324,0.308,0.218,0.25,0.36
"P21","Mala",0.07,0.075,0.062,0.031,0.207,0.098
"P21","Muy mala",0.015,0.035,0.029,0.22,0.195,0.11
"P21","No sabe",0.013,0.011,0.028,0.044,0,0.113
"P22","Muy buena",0.287,0.114,0.155,0.052,0.046,0.145
"P22","Buena",0.198,0.151,0.166,0.358,0.165,0.217
"P22","Ni buena ni mala",0.389,0.298,0.36,0.246,0.338,0.415
"P22","Mala",0.077,0.257,0.198,0.226,0.399,0.06
"P22","Muy mala",0.014,0.138,0.052,0.103,0.032,0.091
"P22","No sabe",0.035,0.042,0.069,0.015,0.02,0.072
"P23","Muy buena",0.116,0.104,0.199,0.08,0.1,0.036
"P23","Buena",0.177,0.152,0.106,0.217,0.085,0.084
"P23","Ni buena ni mala",0.317,0.253,0.293,0.29,0.075,0.342
"P23","Mala",0.247,0.325,0.255,0.251,0.521,0.335
"P23","Muy mala",0.129,0.16,0.123,0.162,0.219,0.15
"P23","No sabe",0.014,0.006,0.024,0,0,0.053
"P24","Muy buena",0.179,0.149,0.198,0.223,0.076,0.082
"P24","Buena",0.26,0.223,0.191,0.281,0.173,0.099
"P24","Ni buena ni mala",0.314,0.286,0.262,0.213,0.14,0.341
"P24","Mala",0.121,0.244,0.215,0.061,0.489,0.286
"P24","Muy mala",0.1,0.08,0.102,0.121,0.122,0.113
"P24","No sabe",0.026,0.018,0.032,0.101,0,0.079
"P25","Muy buena",0.082,0.106,0.092,0.056,0.091,0
"P25","Buena",0.123,0.032,0.055,0.064,0.028,0.005
"P25","Ni buena ni mala",0.391,0.273,0.362,0.348,0.054,0.419
"P25","Mala",0.222,0.328,0.288,0.252,0.592,0.24
"P25","Muy mala",0.147,0.233,0.155,0.203,0.218,0.24
"P25","No sabe",0.035,0.028,0.048,0.077,0.017,0.096
"P26","Muy buena",0.113,0.08,0.048,0.087,0.031,0
"P26","Buena",0.133,0.031,0.114,0.046,0.207,0.018
"P26","Ni buena ni mala",0.425,0.273,0.331,0.367,0.126,0.413
"P26","Mala",0.178,0.283,0.228,0.173,0.441,0.224
"P26","Muy mala",0.107,0.263,0.197,0.218,0.178,0.274
"P26","No sabe",0.044,0.07,0.082,0.109,0.017,0.071
"P27","Si",0.461,0.483,0.345,0.383,0.397,0.264
"P27","No",0.539,0.517,0.655,0.617,0.603,0.736
"P10_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.843,0.056,0.099,0.191,0.249,0.174
"P10_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.066,0.671,0.023,0.199,0.155,0.107
"P10_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.063,0.251,0.861,0.285,0.125,0.509
"P10_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.247,0,0
"P10_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.006,0.006,0.008,0.015,0.471,0.002
"P10_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.01,0.002,0.005,0,0,0.033
"P10_imputada","En blanco",0.012,0.014,0.004,0.063,0,0.175
"P18_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0
"P18_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,1,0,0.023,0,0
"P18_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0
"P18_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.973,0,0
"P18_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.004,1,0
"P18_imputada","En blanco",0,0,0,0,0,1
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.843,0.056,0.099,0.205,0.249,0.175
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.672,0.023,0.276,0.155,0.107
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.063,0.251,0.861,0.325,0.125,0.509
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.006,0.008,0.085,0.471,0.002
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.002,0.005,0.044,0,0.033
"PRESIDENTE_imputada","En blanco",0.012,0.013,0.004,0.065,0,0.174
