"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Muy buena",0.277,0.284,0.27,0.229,0.311,0.297,0.228,0.302,0.282,0.24,0.351,0.202,0.223,0.36,0.307,0.423,0.145,0.213,0.083,0.122,0.022,0.243,0.306
"Buena",0.228,0.26,0.196,0.206,0.215,0.256,0.289,0.242,0.226,0.218,0.228,0.333,0.318,0.253,0.162,0.268,0.393,0.138,0.101,0.107,0.051,0.277,0.188
"Ni buena ni mala",0.327,0.302,0.353,0.285,0.342,0.332,0.369,0.307,0.319,0.363,0.323,0.36,0.325,0.263,0.307,0.246,0.341,0.451,0.438,0.296,0.331,0.301,0.349
"Mala",0.074,0.083,0.065,0.082,0.074,0.066,0.068,0.051,0.067,0.112,0.051,0.076,0.043,0.072,0.099,0.015,0.07,0.117,0.184,0.237,0.355,0.094,0.057
"Muy mala",0.064,0.045,0.083,0.131,0.049,0.024,0.024,0.093,0.054,0.049,0.009,0.024,0.089,0.022,0.093,0.022,0.026,0.056,0.186,0.238,0.205,0.055,0.071
"No sabe",0.03,0.026,0.033,0.067,0.009,0.025,0.022,0.005,0.052,0.018,0.038,0.005,0.002,0.03,0.032,0.026,0.025,0.025,0.008,0,0.036,0.03,0.029
