"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.877,0.844,0.902,0.94,0.693,0.89,0.736
"P05","Tiene dudas sobre si va a ir a  votar",0.098,0.104,0.083,0.018,0.168,0.11,0.165
"P05","Tiene Decidido que no va a ir a votar",0.025,0.052,0.015,0.042,0.139,0,0.099
"P06","Mucho",0.598,0.464,0.427,0.486,0.397,0.275,0.168
"P06","Bastante",0.231,0.29,0.305,0.214,0.355,0.228,0.259
"P06","Poco",0.131,0.196,0.177,0.277,0.22,0.082,0.343
"P06","Nada",0.034,0.046,0.071,0.023,0,0.206,0.099
"P06","No sabe",0.006,0.004,0.02,0,0.028,0.209,0.131
"P07","Siempre",0.254,0.237,0.2,0.067,0.148,0.186,0.14
"P07","Casi siempre",0.34,0.351,0.345,0.408,0.558,0.297,0.198
"P07","Casi nunca",0.32,0.342,0.308,0.321,0.224,0.242,0.306
"P07","Nunca, pero esta es una excepción",0.086,0.07,0.147,0.204,0.07,0.275,0.356
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.996,0,0,0,0,0,0
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.965,0,0,0,0,0
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0,0,0.992,0,0,0,0
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.004,0.035,0.008,0.011,0.31,0.253,0
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.989,0,0,0
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.69,0,0
"P10","En blanco",0,0,0,0,0,0.747,0
"P10","No sabe",0,0,0,0,0,0,1
"P13","Totalmente seguro.",0.7,0.676,0.761,0.804,0.392,0.613,0.19
"P13","Bastante seguro",0.114,0.08,0.099,0.134,0.168,0.085,0.002
"P13","Algo seguro",0.131,0.198,0.103,0.037,0.211,0.139,0.245
"P13","Para nada seguro",0.055,0.046,0.037,0.025,0.229,0.163,0.563
"P17","Si",0.497,0.589,0.575,0.423,0.677,0.554,0.567
"P17","No",0.503,0.411,0.425,0.577,0.323,0.446,0.433
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",0.328,0.125,0.055,0.124,0.047,0,0.014
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.059,0.317,0.149,0.103,0.25,0.208,0.02
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.18,0.053,0.317,0.165,0.169,0.122,0.124
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.181,0.178,0.104,0.207,0.271,0.328,0.172
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.082,0.062,0.016,0.283,0,0,0.025
"P18","En blanco",0.102,0.098,0.152,0.018,0,0.342,0.06
"P18","No sabe",0.068,0.167,0.207,0.1,0.263,0,0.585
"P21","Muy buena",0.278,0.226,0.337,0.087,0.307,0.171,0.17
"P21","Buena",0.255,0.301,0.181,0.37,0.277,0.157,0.134
"P21","Ni buena ni mala",0.351,0.313,0.303,0.188,0.416,0.617,0.381
"P21","Mala",0.064,0.049,0.092,0.249,0,0,0.029
"P21","Muy mala",0.018,0.101,0.062,0.099,0,0,0.18
"P21","No sabe",0.034,0.01,0.025,0.007,0,0.055,0.106
"P22","Muy buena",0.258,0.109,0.118,0.107,0.062,0.232,0.185
"P22","Buena",0.277,0.171,0.167,0.1,0.283,0.298,0.098
"P22","Ni buena ni mala",0.343,0.312,0.371,0.383,0.601,0.255,0.289
"P22","Mala",0.084,0.261,0.209,0.313,0.02,0.119,0.17
"P22","Muy mala",0.016,0.112,0.078,0.065,0.034,0.018,0.107
"P22","No sabe",0.022,0.035,0.057,0.032,0,0.078,0.151
