"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.137,0.121,0.153,0.126,0.117,0.166,0.189,0.169,0.106,0.154,0.304,0.234,0.06,0.08,0.041,0.136,0.153,0.274,0.039,0.038,0.096,0.151,0.125
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.153,0.116,0.192,0.036,0.137,0.27,0.326,0.131,0.145,0.194,0.08,0.077,0.384,0.318,0.097,0.163,0.11,0.092,0.428,0.256,0.164,0.17,0.139
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.206,0.249,0.161,0.302,0.169,0.15,0.19,0.314,0.19,0.109,0.245,0.24,0.099,0.193,0.239,0.171,0.205,0.333,0.038,0.124,0.405,0.22,0.194
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.153,0.176,0.129,0.145,0.16,0.18,0.094,0.051,0.223,0.144,0.163,0.162,0.201,0.098,0.132,0.141,0.372,0.063,0.096,0,0,0.132,0.171
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.048,0.034,0.062,0.044,0.069,0.024,0.02,0.035,0.016,0.122,0.047,0.187,0.056,0.022,0.012,0.032,0.041,0.152,0.011,0,0.262,0.069,0.03
"En blanco",0.12,0.141,0.099,0.208,0.104,0.067,0.04,0.08,0.168,0.081,0.057,0.026,0.071,0.105,0.224,0.141,0.029,0.006,0.315,0.388,0.073,0.11,0.129
"No sabe",0.183,0.163,0.204,0.139,0.244,0.143,0.141,0.22,0.152,0.196,0.104,0.074,0.129,0.184,0.255,0.216,0.09,0.08,0.073,0.194,0,0.148,0.212
