"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.239,0.243,0.235,0.216,0.218,0.288,0.293,0.198,0.246,0.275,0.508,0.448,0.07,0.083,0.063,0.246,0.262,0.458,0.016,0.019,0.174,0.218,0.257
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.176,0.154,0.2,0.05,0.171,0.278,0.359,0.132,0.161,0.256,0.083,0.059,0.571,0.43,0.087,0.19,0.115,0.113,0.466,0.268,0.073,0.196,0.16
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.314,0.33,0.297,0.396,0.327,0.207,0.233,0.387,0.313,0.229,0.259,0.27,0.138,0.138,0.531,0.318,0.278,0.281,0.212,0.437,0.336,0.309,0.317
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.116,0.094,0.137,0.129,0.112,0.122,0.077,0.091,0.144,0.093,0.086,0.068,0.128,0.294,0.074,0.103,0.243,0.043,0.149,0.03,0,0.115,0.116
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.049,0.048,0.051,0.055,0.063,0.033,0.01,0.048,0.027,0.092,0.023,0.135,0.036,0.004,0.048,0.03,0.052,0.079,0.022,0.038,0.355,0.073,0.03
"En blanco",0.106,0.131,0.08,0.154,0.109,0.072,0.028,0.144,0.109,0.055,0.041,0.02,0.057,0.051,0.197,0.113,0.05,0.026,0.135,0.208,0.062,0.089,0.12
