"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.876,0.86,0.905,0.692,0.94,0.728,0.852,0.736
"P05","Tiene dudas sobre si va a ir a  votar",0.098,0.086,0.079,0.308,0.018,0.071,0.148,0.165
"P05","Tiene Decidido que no va a ir a votar",0.026,0.054,0.016,0,0.042,0.201,0,0.099
"P06","Mucho",0.597,0.453,0.429,0.378,0.485,0.529,0.299,0.168
"P06","Bastante",0.231,0.296,0.303,0.492,0.212,0.184,0.089,0.259
"P06","Poco",0.131,0.199,0.176,0.073,0.28,0.287,0.109,0.343
"P06","Nada",0.034,0.048,0.072,0.041,0.023,0,0.223,0.099
"P06","No sabe",0.007,0.004,0.02,0.016,0,0,0.28,0.131
"P07","Siempre",0.255,0.235,0.197,0.153,0.068,0.214,0.248,0.14
"P07","Casi siempre",0.34,0.337,0.346,0.652,0.401,0.533,0.113,0.198
"P07","Casi nunca",0.32,0.355,0.308,0.111,0.324,0.184,0.324,0.306
"P07","Nunca, pero esta es una excepción",0.085,0.073,0.149,0.084,0.207,0.069,0.315,0.356
"P13","Totalmente seguro.",0.699,0.694,0.765,0.434,0.813,0.345,0.586,0.19
"P13","Bastante seguro",0.114,0.083,0.1,0.044,0.136,0.264,0.059,0.002
"P13","Algo seguro",0.132,0.175,0.1,0.483,0.031,0.031,0.131,0.245
"P13","Para nada seguro",0.055,0.048,0.035,0.039,0.02,0.36,0.224,0.563
"P21","Muy buena",0.276,0.234,0.34,0.079,0.089,0.407,0.197,0.17
"P21","Buena",0.256,0.312,0.174,0.255,0.369,0.441,0.117,0.134
"P21","Ni buena ni mala",0.351,0.316,0.305,0.389,0.191,0.152,0.622,0.381
"P21","Mala",0.065,0.051,0.093,0.014,0.244,0,0,0.029
"P21","Muy mala",0.018,0.077,0.062,0.263,0.1,0,0,0.18
"P21","No sabe",0.034,0.01,0.026,0,0.007,0,0.064,0.106
"P22","Muy buena",0.257,0.112,0.119,0.053,0.109,0.022,0.267,0.185
"P22","Buena",0.278,0.151,0.161,0.642,0.102,0.182,0.212,0.098
"P22","Ni buena ni mala",0.343,0.316,0.373,0.249,0.38,0.711,0.294,0.289
"P22","Mala",0.084,0.27,0.211,0.025,0.311,0.032,0.137,0.17
"P22","Muy mala",0.016,0.115,0.079,0.031,0.066,0.053,0,0.107
"P22","No sabe",0.022,0.036,0.057,0,0.032,0,0.09,0.151
"P23","Muy buena",0.155,0.088,0.134,0.086,0.09,0.159,0.067,0.133
"P23","Buena",0.197,0.193,0.089,0.243,0.117,0.106,0.231,0.012
"P23","Ni buena ni mala",0.305,0.228,0.291,0.299,0.059,0.65,0.454,0.333
"P23","Mala",0.219,0.361,0.313,0.061,0.458,0.085,0.104,0.274
"P23","Muy mala",0.121,0.124,0.155,0.311,0.276,0,0.144,0.124
"P23","No sabe",0.003,0.006,0.018,0,0,0,0,0.124
"P24","Muy buena",0.209,0.192,0.149,0.162,0.06,0.212,0.066,0.133
"P24","Buena",0.277,0.206,0.2,0.324,0.103,0.045,0.143,0.117
"P24","Ni buena ni mala",0.301,0.264,0.253,0.246,0.196,0.71,0.433,0.264
"P24","Mala",0.126,0.265,0.243,0,0.426,0.033,0.17,0.086
"P24","Muy mala",0.075,0.055,0.116,0.013,0.176,0,0.065,0.279
"P24","No sabe",0.012,0.018,0.039,0.255,0.039,0,0.123,0.121
"P25","Muy buena",0.116,0.089,0.066,0,0.028,0,0,0.052
"P25","Buena",0.114,0.032,0.04,0.092,0.023,0.029,0.039,0.067
"P25","Ni buena ni mala",0.392,0.3,0.348,0.292,0.125,0.339,0.507,0.261
"P25","Mala",0.224,0.34,0.299,0.433,0.517,0.314,0.176,0.21
"P25","Muy mala",0.118,0.204,0.208,0.033,0.286,0.318,0.157,0.267
"P25","No sabe",0.036,0.035,0.039,0.15,0.021,0,0.121,0.143
"P26","Muy buena",0.117,0.064,0.039,0.26,0.064,0,0,0.02
"P26","Buena",0.176,0.044,0.078,0,0.073,0,0,0.007
"P26","Ni buena ni mala",0.409,0.301,0.341,0.315,0.183,0.61,0.457,0.24
"P26","Mala",0.178,0.307,0.236,0.11,0.435,0.072,0.229,0.161
"P26","Muy mala",0.08,0.237,0.234,0.102,0.245,0.318,0.221,0.346
"P26","No sabe",0.04,0.047,0.072,0.213,0,0,0.093,0.226
"P27","Si",0.506,0.415,0.363,0.28,0.516,0.302,0.27,0.163
"P27","No",0.494,0.585,0.637,0.72,0.484,0.698,0.73,0.837
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0.044,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0.309,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0.138,0,0,0,0
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.019,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0.2,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0.29,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,0,1
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.681,0.077,0.031,0,0.044,0.054,0,0.007
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.029,0.597,0.081,0,0.034,0.052,0.136,0.011
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.09,0.032,0.633,0,0.059,0.194,0.075,0.068
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.081,0.101,0.055,1,0.058,0,0.061,0.099
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.037,0.039,0.008,0,0.762,0,0,0.013
"DIPUTADOS","En blanco",0.05,0.061,0.083,0,0.007,0.446,0.728,0.027
"DIPUTADOS","No sabe",0.032,0.093,0.109,0,0.036,0.254,0,0.775
"CORTA_DIPUTADOS","Si",0.341,0.419,0.417,0,0.324,0.547,0.298,0.245
"CORTA_DIPUTADOS","No",0.659,0.581,0.583,1,0.676,0.453,0.702,0.755
