"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.167,0.16,0.174,0.142,0.158,0.206,0.192,0.182,0.144,0.19,0.355,0.234,0.06,0.08,0.057,0.184,0.155,0.294,0.039,0.038,0.096,0.17,0.163
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.202,0.141,0.265,0.041,0.214,0.314,0.396,0.177,0.194,0.247,0.108,0.077,0.482,0.383,0.156,0.226,0.144,0.103,0.501,0.375,0.164,0.214,0.192
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.223,0.269,0.175,0.313,0.189,0.165,0.218,0.323,0.199,0.147,0.248,0.26,0.118,0.218,0.27,0.186,0.205,0.375,0.038,0.124,0.405,0.234,0.214
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.182,0.185,0.178,0.191,0.182,0.193,0.134,0.091,0.25,0.165,0.163,0.167,0.213,0.192,0.14,0.174,0.375,0.063,0.096,0,0,0.156,0.204
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.058,0.035,0.083,0.044,0.094,0.027,0.02,0.035,0.025,0.147,0.047,0.217,0.056,0.022,0.03,0.039,0.041,0.152,0.011,0.033,0.262,0.072,0.047
"En blanco",0.168,0.21,0.125,0.269,0.163,0.095,0.04,0.192,0.188,0.104,0.079,0.045,0.071,0.105,0.347,0.191,0.08,0.013,0.315,0.43,0.073,0.154,0.18
