"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.688,0.217,0.087,0.034,0.149
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.051,0.384,0.201,0.266,0.196
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.066,0.322,0.127,0.152,0.144
"P07","Al candidato de Milei en el municipio de Merlo",0.017,0.048,0.462,0.084,0.116
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.007,0.01,0.095,0.1,0.026
"P07","A Cristian Franco por el Frente de Izquierda",0.04,0,0,0.331,0.021
"P07","No sabe",0.131,0.019,0.028,0.033,0.348
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.773,0.205,0.088,0.066,0.186
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.044,0.648,0.22,0.309,0.278
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.012,0.126,0.568,0.124,0.189
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.007,0.014,0.07,0.018,0.013
"P09","A Cristian Franco por el Frente de Izquierda",0.049,0,0,0.325,0.027
"P09","No sabe",0.115,0.007,0.054,0.158,0.307
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.759,0.203,0.086,0.106,0.169
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.061,0.647,0.146,0.262,0.218
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.016,0.102,0.655,0.149,0.233
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0,0.011,0.036,0.082,0.022
"P11","A Cristian Franco por el Frente de Izquierda",0.056,0,0,0.343,0.083
"P11","No sabe",0.108,0.037,0.077,0.058,0.275
"P13","Muy buena",0.251,0.199,0.072,0.043,0.052
"P13","Buena",0.314,0.034,0.038,0.057,0.1
"P13","Ni buena ni mala",0.137,0.103,0.233,0.246,0.17
"P13","Mala",0.154,0.153,0.193,0.121,0.127
"P13","Muy mala",0.089,0.402,0.428,0.527,0.306
"P13","No sabe",0.055,0.109,0.036,0.006,0.245
"P14","Muy buena",0.031,0.262,0.202,0.076,0.035
"P14","Buena",0.063,0.218,0.083,0.072,0.104
"P14","Ni buena ni mala",0.306,0.25,0.289,0.328,0.337
"P14","Mala",0.212,0.048,0.081,0.077,0.106
"P14","Muy mala",0.166,0.098,0.136,0.342,0.068
"P14","No sabe",0.222,0.124,0.209,0.105,0.35
"P15","Muy buena",0.011,0.185,0.118,0.006,0.004
"P15","Buena",0.057,0.156,0.079,0.031,0.133
"P15","Ni buena ni mala",0.317,0.397,0.314,0.32,0.338
"P15","Mala",0.213,0.074,0.25,0.066,0.087
"P15","Muy mala",0.196,0.044,0.067,0.43,0.087
"P15","No sabe",0.206,0.144,0.172,0.147,0.351
"P16","Muy buena",0.097,0.128,0.083,0.053,0.052
"P16","Buena",0.134,0.092,0.066,0.056,0.12
"P16","Ni buena ni mala",0.266,0.234,0.141,0.209,0.209
"P16","Mala",0.219,0.243,0.241,0.162,0.157
"P16","Muy mala",0.177,0.227,0.358,0.456,0.167
"P16","No sabe",0.107,0.076,0.111,0.064,0.295
"P17","Muy buena",0.007,0.084,0.103,0.051,0
"P17","Buena",0.087,0.005,0.004,0.025,0.032
"P17","Ni buena ni mala",0.356,0.375,0.411,0.379,0.336
"P17","Mala",0.094,0.064,0.024,0.086,0.031
"P17","Muy mala",0.067,0.091,0.087,0.275,0.072
"P17","No sabe",0.389,0.381,0.371,0.184,0.529
"P18","Lo votaría",0.416,0.176,0.135,0.018,0.073
"P18","Puede que lo vote",0.241,0.072,0.168,0.007,0.221
"P18","Nunca lo votaría",0.224,0.587,0.661,0.889,0.474
"P18","No sabe",0.119,0.165,0.036,0.086,0.232
"P19","Lo votaría",0.046,0.323,0.181,0.021,0.079
"P19","Puede que lo vote",0.101,0.36,0.226,0.097,0.235
"P19","Nunca lo votaría",0.63,0.2,0.385,0.729,0.272
"P19","No sabe",0.223,0.117,0.208,0.153,0.414
"P20","Lo votaría",0.023,0.207,0.097,0.02,0.05
"P20","Puede que lo vote",0.069,0.336,0.335,0.066,0.207
"P20","Nunca lo votaría",0.648,0.237,0.393,0.754,0.322
"P20","No sabe",0.26,0.22,0.175,0.16,0.421
"P21","Muy buena",0.59,0.142,0.037,0.105,0.043
"P21","Buena",0.216,0.06,0.013,0.055,0.134
"P21","Ni buena ni mala",0.133,0.082,0.127,0.388,0.311
"P21","Mala",0.022,0.255,0.276,0.354,0.099
"P21","Muy mala",0.01,0.457,0.474,0.098,0.235
"P21","No sabe",0.029,0.004,0.073,0,0.178
"P22","Muy buena",0.052,0.327,0.189,0.008,0.064
"P22","Buena",0.074,0.217,0.175,0.006,0.155
"P22","Ni buena ni mala",0.25,0.27,0.304,0.253,0.368
"P22","Mala",0.222,0.069,0.167,0.39,0.043
"P22","Muy mala",0.277,0.069,0.075,0.294,0.053
"P22","No sabe",0.125,0.048,0.09,0.049,0.317
"P23","Muy buena",0.007,0.16,0.081,0.008,0.041
"P23","Buena",0.031,0.268,0.144,0.063,0.186
"P23","Ni buena ni mala",0.279,0.328,0.386,0.266,0.399
"P23","Mala",0.195,0.079,0.079,0.326,0.055
"P23","Muy mala",0.359,0.061,0.109,0.305,0.087
"P23","No sabe",0.129,0.104,0.201,0.032,0.232
"P24","Muy buena",0.017,0.166,0.34,0.149,0.067
"P24","Buena",0.009,0.24,0.22,0.019,0.194
"P24","Ni buena ni mala",0.206,0.365,0.288,0.18,0.315
"P24","Mala",0.216,0.073,0.008,0.328,0.058
"P24","Muy mala",0.422,0.051,0.021,0.317,0.11
"P24","No sabe",0.13,0.105,0.123,0.007,0.256
"P25","Muy buena",0.012,0.131,0.204,0.109,0
"P25","Buena",0.033,0.222,0.204,0.019,0.138
"P25","Ni buena ni mala",0.246,0.313,0.334,0.322,0.325
"P25","Mala",0.178,0.144,0.092,0.241,0.078
"P25","Muy mala",0.372,0.102,0.038,0.21,0.137
"P25","No sabe",0.159,0.088,0.128,0.099,0.322
"P26","Lo votaría",0.776,0.13,0.08,0.145,0.053
"P26","Puede que lo vote",0.093,0.014,0.111,0.088,0.263
"P26","Nunca lo votaría",0.059,0.811,0.717,0.656,0.417
"P26","No sabe",0.072,0.045,0.092,0.111,0.267
"P27","Lo votaría",0.03,0.41,0.214,0.106,0.132
"P27","Puede que lo vote",0.053,0.25,0.433,0.015,0.3
"P27","Nunca lo votaría",0.742,0.3,0.227,0.78,0.211
"P27","No sabe",0.175,0.04,0.126,0.099,0.357
"P28","Lo votaría",0.009,0.262,0.165,0.091,0.126
"P28","Puede que lo vote",0.059,0.264,0.4,0.024,0.195
"P28","Nunca lo votaría",0.698,0.351,0.224,0.705,0.251
"P28","No sabe",0.234,0.123,0.211,0.18,0.428
"P29","Lo votaría",0.027,0.166,0.405,0.05,0.042
"P29","Puede que lo vote",0.033,0.327,0.343,0.057,0.256
"P29","Nunca lo votaría",0.709,0.329,0.11,0.77,0.263
"P29","No sabe",0.231,0.178,0.142,0.123,0.439
"P30","Lo votaría",0.021,0.139,0.276,0.022,0.01
"P30","Puede que lo vote",0.064,0.264,0.334,0.06,0.141
"P30","Nunca lo votaría",0.689,0.468,0.23,0.767,0.387
"P30","No sabe",0.226,0.129,0.16,0.151,0.462
"P31","La seguridad",0.112,0.162,0.136,0.007,0.021
"P31","El tránsito",0.005,0.055,0.07,0.031,0.042
"P31","El arreglo de las calles",0.243,0.207,0.107,0.299,0.162
"P31","Los parques y espacios públicos",0.309,0.062,0.217,0.233,0.115
"P31","El sistema de salud",0.04,0.025,0.033,0.117,0.098
"P31","La limpieza de las calles",0.055,0.005,0.021,0,0.08
"P31","El deporte y la cultura",0.068,0.05,0.026,0.143,0.085
"P31","La luminaria",0.012,0.028,0.043,0,0.057
"P31","No sabe",0.156,0.406,0.347,0.17,0.34
"P32","La seguridad",0.333,0.534,0.581,0.304,0.459
"P32","El tránsito",0.066,0.002,0.003,0.084,0.025
"P32","El arreglo de las calles",0.221,0.098,0.179,0.119,0.058
"P32","Los parques y espacios públicos",0.027,0.012,0.009,0.018,0.011
"P32","El sistema de salud",0.168,0.181,0.151,0.239,0.283
"P32","La limpieza de las calles",0.039,0.023,0.013,0.005,0.024
"P32","El deporte y la cultura",0.023,0,0,0.132,0.007
"P32","La luminaria",0.015,0.001,0.025,0.016,0.017
"P32","No sabe",0.108,0.149,0.039,0.083,0.116
"P33","Agua corriente y cloacas",0.475,0.42,0.563,0.563,0.38
"P33","Energía eléctrica",0.137,0.231,0.09,0.177,0.107
"P33","Red de gas natural",0.094,0.077,0.058,0.11,0.115
"P33","Recolección de residuos",0.121,0.095,0.238,0.134,0.116
"P33","Ninguno",0.173,0.177,0.051,0.016,0.282
"P34","Los robos",0.475,0.549,0.57,0.316,0.522
"P34","El narcotráfico",0.193,0.15,0.135,0.18,0.143
"P34","La ausencia de patrulleros y personal policial",0.237,0.158,0.243,0.318,0.164
"P34","Otro",0.063,0.119,0.039,0.129,0.147
"P34","Ninguno",0.032,0.024,0.013,0.057,0.024
"P35","Muy buena",0.174,0.072,0.03,0.116,0.043
"P35","Buena",0.277,0.144,0.068,0.109,0.1
"P35","Ni buena ni mala",0.314,0.241,0.213,0.369,0.383
"P35","Mala",0.126,0.298,0.313,0.16,0.159
"P35","Muy mala",0.09,0.178,0.301,0.185,0.252
"P35","No sabe",0.019,0.067,0.075,0.061,0.063
"P36","Muy buena",0.123,0.076,0.011,0,0.026
"P36","Buena",0.309,0.15,0.027,0,0.097
"P36","Ni buena ni mala",0.332,0.266,0.285,0.247,0.401
"P36","Mala",0.096,0.207,0.321,0.618,0.077
"P36","Muy mala",0.074,0.213,0.271,0.074,0.329
"P36","No sabe",0.066,0.088,0.085,0.061,0.07
"P42","Muy buena",0.174,0.132,0.044,0,0.017
"P42","Buena",0.214,0.033,0.007,0.138,0.032
"P42","Ni buena ni mala",0.331,0.192,0.295,0.235,0.239
"P42","Mala",0.214,0.175,0.121,0.325,0.243
"P42","Muy mala",0.032,0.467,0.508,0.302,0.439
"P42","No sabe",0.035,0.001,0.025,0,0.03
"P43","Muy buena",0.048,0.331,0.069,0.024,0.08
"P43","Buena",0.01,0.165,0.173,0.066,0.054
"P43","Ni buena ni mala",0.088,0.283,0.356,0.148,0.294
"P43","Mala",0.206,0.084,0.194,0.195,0.229
"P43","Muy mala",0.636,0.137,0.188,0.503,0.312
"P43","No sabe",0.012,0,0.02,0.064,0.031
"P44","Muy buena",0.685,0.165,0.069,0.12,0.093
"P44","Buena",0.148,0.003,0.057,0.007,0.102
"P44","Ni buena ni mala",0.038,0.024,0.056,0.215,0.179
"P44","Mala",0.052,0.16,0.133,0.064,0.248
"P44","Muy mala",0.071,0.642,0.68,0.528,0.35
"P44","No sabe",0.006,0.006,0.005,0.066,0.028
"P45","Muy buena",0.069,0.434,0.148,0.016,0.062
"P45","Buena",0.042,0.188,0.143,0.071,0.166
"P45","Ni buena ni mala",0.111,0.171,0.229,0.065,0.309
"P45","Mala",0.25,0.073,0.149,0.188,0.152
"P45","Muy mala",0.48,0.133,0.267,0.594,0.233
"P45","No sabe",0.048,0.001,0.064,0.066,0.078
"P46","Muy buena",0.123,0.147,0.029,0.021,0.03
"P46","Buena",0.403,0.078,0.038,0.059,0.195
"P46","Ni buena ni mala",0.263,0.11,0.138,0.144,0.186
"P46","Mala",0.086,0.204,0.206,0.215,0.255
"P46","Muy mala",0.088,0.416,0.52,0.534,0.298
"P46","No sabe",0.037,0.045,0.069,0.027,0.036
"P47","Muy buena",0.042,0.399,0.227,0.007,0.215
"P47","Buena",0.067,0.186,0.266,0.059,0.137
"P47","Ni buena ni mala",0.086,0.158,0.229,0.052,0.125
"P47","Mala",0.178,0.103,0.066,0.123,0.21
"P47","Muy mala",0.58,0.153,0.206,0.759,0.198
"P47","No sabe",0.047,0.001,0.006,0,0.115
"P48","Muy buena",0.021,0.19,0.59,0.316,0.184
"P48","Buena",0.01,0.132,0.217,0.007,0.08
"P48","Ni buena ni mala",0.131,0.329,0.102,0.063,0.299
"P48","Mala",0.221,0.184,0.064,0.115,0.105
"P48","Muy mala",0.55,0.144,0.021,0.499,0.194
"P48","No sabe",0.067,0.021,0.006,0,0.138
