"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.305,0.363,0.421,0.721,0.312,0.506,0.52,0.431,0.389
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.254,0.209,0.122,0.136,0.135,0.229,0.398,0,0.183
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.176,0.342,0.194,0.043,0.072,0.013,0,0.024,0.24
"P07","Al candidato de Milei en el municipio de Merlo",0.144,0.011,0.099,0.059,0.161,0.06,0,0.189,0.047
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.021,0.053,0.037,0,0.051,0.064,0,0,0.032
"P07","A Cristian Franco por el Frente de Izquierda",0.028,0.022,0.022,0.026,0.09,0,0.041,0,0.047
"P07","No sabe",0.072,0,0.105,0.015,0.179,0.128,0.041,0.356,0.062
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.331,0.627,0.466,0.721,0.381,0.529,0.52,0.385,0.353
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.349,0.299,0.222,0.054,0.203,0.282,0.398,0,0.309
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.181,0.011,0.148,0.061,0.181,0.044,0,0.239,0.171
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.029,0,0.039,0.06,0.011,0,0,0,0.022
"P09","A Cristian Franco por el Frente de Izquierda",0.028,0.022,0.051,0.026,0.103,0,0.041,0,0.022
"P09","No sabe",0.082,0.041,0.074,0.078,0.121,0.145,0.041,0.376,0.123
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.309,0.699,0.456,0.736,0.383,0.506,0.52,0.529,0.371
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.335,0.2,0.229,0.096,0.163,0.347,0.398,0.024,0.249
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.206,0.028,0.164,0.078,0.198,0.018,0,0.215,0.171
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.016,0,0.016,0,0.037,0,0,0,0.012
"P11","A Cristian Franco por el Frente de Izquierda",0.032,0.022,0.053,0.026,0.134,0.014,0.041,0,0.02
"P11","No sabe",0.102,0.051,0.082,0.064,0.085,0.115,0.041,0.232,0.177
"P13","Muy buena",0.118,0.465,0.167,0.11,0.197,0.205,0.451,0.204,0.187
"P13","Buena",0.098,0.298,0.246,0.348,0.088,0.231,0.031,0.278,0.146
"P13","Ni buena ni mala",0.171,0.031,0.173,0.359,0.123,0.097,0.477,0.167,0.087
"P13","Mala",0.178,0.184,0.142,0.041,0.189,0.085,0,0.132,0.069
"P13","Muy mala",0.347,0.022,0.262,0.142,0.337,0.286,0.041,0.139,0.261
"P13","No sabe",0.088,0,0.01,0,0.066,0.096,0,0.08,0.25
"P14","Muy buena",0.167,0.012,0.122,0,0.107,0.023,0,0.06,0.096
"P14","Buena",0.09,0.118,0.121,0.056,0.157,0.433,0,0.024,0.036
"P14","Ni buena ni mala",0.332,0.527,0.3,0.369,0.213,0.056,0.439,0.326,0.28
"P14","Mala",0.104,0.235,0.111,0.393,0.121,0.058,0.52,0.14,0.101
"P14","Muy mala",0.132,0.108,0.173,0.167,0.135,0.176,0.041,0.227,0.155
"P14","No sabe",0.175,0,0.173,0.015,0.267,0.254,0,0.223,0.332
"P15","Muy buena",0.107,0.012,0.039,0.043,0.084,0,0,0,0.085
"P15","Buena",0.098,0.068,0.085,0,0.127,0.195,0,0.121,0.049
"P15","Ni buena ni mala",0.362,0.599,0.352,0.275,0.172,0.431,0.439,0.53,0.413
"P15","Mala",0.151,0.19,0.169,0.533,0.146,0.033,0.52,0.084,0.086
"P15","Muy mala",0.087,0.121,0.161,0.114,0.212,0.182,0.041,0.186,0.139
"P15","No sabe",0.195,0.01,0.194,0.035,0.259,0.159,0,0.079,0.228
"P16","Muy buena",0.105,0,0.114,0.074,0.132,0.037,0,0.083,0.098
"P16","Buena",0.106,0.114,0.136,0.18,0.106,0.244,0,0.046,0.026
"P16","Ni buena ni mala",0.254,0.444,0.13,0.211,0.196,0.146,0.48,0.157,0.206
"P16","Mala",0.199,0.385,0.228,0.419,0.192,0.327,0.482,0.36,0.127
"P16","Muy mala",0.219,0.057,0.249,0.116,0.265,0.204,0.038,0.297,0.314
"P16","No sabe",0.117,0,0.143,0,0.109,0.042,0,0.057,0.229
"P17","Muy buena",0.067,0,0,0.019,0.064,0,0,0,0.019
"P17","Buena",0.021,0.109,0.03,0.165,0.051,0.182,0,0,0.019
"P17","Ni buena ni mala",0.403,0.668,0.317,0.284,0.324,0.357,0.439,0.6,0.268
