"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.304,0.234,0.372,0.136,0.386,0.346,0.325,0.123,0.437,0.295,0.243,0.227,0.449,0.253,0.352,0.418,0.199,0.367,0.073
"A Mauricio Macri",0.135,0.102,0.168,0.179,0.041,0.269,0.087,0.139,0.116,0.177,0.144,0.145,0.02,0.385,0.154,0.065,0.264,0.115,0
"A Patricia Bullrich",0.474,0.647,0.304,0.562,0.472,0.313,0.576,0.627,0.359,0.489,0.608,0.511,0.342,0.296,0.408,0.517,0.167,0.515,0.893
"A Facundo Manes",0.077,0.013,0.139,0.123,0.101,0.035,0,0.111,0.07,0.029,0.005,0.089,0.189,0.066,0.086,0,0.332,0,0.034
"A Gerardo Morales",0.01,0.004,0.017,0,0,0.037,0.012,0,0.018,0.01,0,0.028,0,0,0,0,0.038,0.003,0
