"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Frente de Todos y el peronismo",0.388,0.457,0.321,0.252,0.362,0.501,0.473,0.466,0.335,0.386,0.381,0.405,0.323,0.511,0.261,0.381,0.643,0.162,0.04
"Cambiemos",0.263,0.207,0.317,0.29,0.256,0.253,0.259,0.267,0.287,0.199,0.327,0.232,0.404,0.236,0.207,0.206,0.126,0.494,0.403
"Liberales",0.178,0.208,0.149,0.337,0.166,0.112,0.084,0.143,0.189,0.211,0.188,0.162,0.138,0.063,0.159,0.331,0.115,0.243,0.175
"Izquierda",0.07,0.064,0.076,0.071,0.103,0.03,0.044,0.065,0.073,0.068,0.019,0.071,0.079,0.101,0.181,0.045,0.049,0.032,0.192
"No sabe",0.101,0.064,0.137,0.05,0.113,0.104,0.14,0.059,0.116,0.136,0.085,0.13,0.056,0.089,0.192,0.037,0.067,0.069,0.19
