"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.419,0.388,0.449,0.318,0.407,0.526,0.454,0.471,0.407,0.346,0.396,0.414,0.395,0.499,0.356,0.433,0.614,0.218,0.118
"A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.256,0.257,0.255,0.225,0.276,0.24,0.276,0.207,0.303,0.233,0.296,0.248,0.288,0.259,0.291,0.174,0.126,0.508,0.394
"Al candidato de Javier Milei en el municipio de Merlo",0.176,0.181,0.172,0.359,0.155,0.098,0.049,0.166,0.18,0.19,0.121,0.228,0.172,0.091,0.145,0.232,0.114,0.195,0.352
"Al candidato de José Luis Espert en la boleta de Espert gobernador",0.021,0.025,0.017,0.033,0.016,0.01,0.032,0.02,0.02,0.025,0.038,0.009,0.041,0.002,0.062,0.01,0.01,0.016,0.081
"A Cristian Franco por el Frente de Izquierda",0.034,0.037,0.03,0.021,0.039,0.032,0.043,0.016,0.026,0.089,0.025,0.024,0.055,0.043,0.038,0.047,0.038,0.002,0
"No sabe",0.094,0.112,0.077,0.044,0.107,0.094,0.146,0.12,0.064,0.117,0.124,0.077,0.049,0.106,0.108,0.104,0.098,0.061,0.055
