"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.064,0.102,0.108,0.184,0.407,0.142
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.088,0.063,0.101,0.135,0.122,0.045
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0,0.019,0.018,0.035,0.052,0
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.053,0.024,0.027,0.065,0.041,0.093
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0,0.005,0.015,0.019,0.077
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.003,0.027,0.071,0.241,0.172
"P24","A los candidatos del Frente de Izquierda",0.028,0.007,0.015,0.041,0.008,0
"P24","No sabe",0.092,0.062,0.088,0.076,0.033,0.264
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.482,0.251,0.126,0.026,0.013,0
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.297,0.579,0.567,0.384,0.035,0.206
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.038,0.013,0.071,0.142,0.396,0.109
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.065,0.034,0.041,0.11,0.113,0.067
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.012,0.013,0.014,0.037,0.039,0
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.058,0.03,0.048,0.046,0.012
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.001,0,0.011,0.033,0.077
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.04,0.004,0.029,0.093,0.284,0.265
"P25","A los candidatos del Frente de Izquierda",0.036,0.016,0.036,0.061,0.006,0
"P25","No sabe",0.007,0.031,0.086,0.088,0.035,0.264
