"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P11","A algún candidato del kirchnerismo",0.538,0.085,0.329,0.382,0.116,0.293,0.612,0.546
"P12","A Alberto Fernández",0.073,0.094,0.152,0.136,0.084,0.039,0.049,0.055
"P12","A Sergio Massa",0.114,0.219,0.163,0.189,0.672,0.09,0,0.116
"P12","A algún candidato del peronismo",0.085,0.454,0.199,0.132,0,0.206,0.208,0.125
"P12","A Cristina Fernández de Kirchner",0.728,0.233,0.486,0.543,0.244,0.665,0.743,0.704
"P13","A Horacio Rodriguez Larreta",0.276,0.112,0.607,0.218,0.338,0.061,0,0.245
"P13","A Patricia Bullrich",0.381,0.852,0.277,0.344,0.43,0.759,0.885,0.411
"P13","A Facundo Manes",0.277,0.014,0.068,0.326,0.088,0.169,0.05,0.129
"P13","A Gerardo Morales",0.066,0.022,0.048,0.112,0.144,0.011,0.065,0.215
"P14","Lo votaría",0.761,0.027,0.074,0.227,0.126,0.024,0.193,0.235
"P14","Puede que lo vote",0.079,0.067,0.082,0.114,0.069,0.04,0.15,0.098
"P14","Nunca lo votaría",0.087,0.882,0.785,0.593,0.724,0.922,0.546,0.522
"P14","No sabe",0.073,0.024,0.059,0.066,0.081,0.014,0.111,0.145
"P15","Lo votaría",0.243,0.013,0.05,0.077,0.081,0.017,0.015,0.058
"P15","Puede que lo vote",0.433,0.038,0.175,0.188,0.067,0.065,0.122,0.2
"P15","Nunca lo votaría",0.208,0.914,0.69,0.617,0.773,0.844,0.728,0.533
"P15","No sabe",0.116,0.035,0.085,0.118,0.079,0.074,0.135,0.209
"P16","Lo votaría",0.04,0.307,0.461,0.12,0.195,0.073,0.056,0.054
"P16","Puede que lo vote",0.111,0.41,0.276,0.34,0.285,0.209,0.09,0.148
"P16","Nunca lo votaría",0.781,0.223,0.193,0.408,0.372,0.622,0.784,0.616
"P16","No sabe",0.068,0.06,0.07,0.132,0.148,0.096,0.07,0.182
"P17","Lo votaría",0.021,0.344,0.215,0.084,0.098,0.065,0.041,0.072
"P17","Puede que lo vote",0.073,0.386,0.343,0.275,0.381,0.215,0.079,0.126
"P17","Nunca lo votaría",0.832,0.181,0.308,0.486,0.418,0.582,0.799,0.571
"P17","No sabe",0.074,0.089,0.134,0.155,0.103,0.138,0.081,0.231
"P18","Lo votaría",0.233,0.056,0.086,0.121,0.065,0.05,0.025,0.106
"P18","Puede que lo vote",0.433,0.053,0.107,0.2,0.122,0.076,0.127,0.19
"P18","Nunca lo votaría",0.267,0.865,0.748,0.623,0.804,0.848,0.769,0.537
"P18","No sabe",0.067,0.026,0.059,0.056,0.009,0.026,0.079,0.167
"P19","Lo votaría",0.058,0.046,0.087,0.1,0.086,0.123,0.038,0.105
"P19","Puede que lo vote",0.098,0.137,0.206,0.149,0.255,0.237,0.103,0.146
"P19","Nunca lo votaría",0.788,0.768,0.645,0.662,0.612,0.588,0.772,0.606
"P19","No sabe",0.056,0.049,0.062,0.089,0.047,0.052,0.087,0.143
"P20","Lo votaría",0.024,0.248,0.118,0.059,0.478,0.416,0.211,0.123
"P20","Puede que lo vote",0.042,0.405,0.296,0.247,0.224,0.28,0.102,0.151
"P20","Nunca lo votaría",0.881,0.274,0.486,0.547,0.253,0.25,0.624,0.539
"P20","No sabe",0.053,0.073,0.1,0.147,0.045,0.054,0.063,0.187
"P21","Lo votaría",0.013,0.065,0.037,0.159,0.044,0.037,0.096,0.024
"P21","Puede que lo vote",0.033,0.183,0.165,0.104,0.145,0.1,0.083,0.062
"P21","Nunca lo votaría",0.772,0.507,0.539,0.449,0.554,0.546,0.561,0.586
"P21","No sabe",0.182,0.245,0.259,0.288,0.257,0.317,0.26,0.328
"P22","Lo votaría",0.194,0.016,0.033,0.073,0.055,0.018,0.032,0.045
"P22","Puede que lo vote",0.389,0.041,0.09,0.127,0.039,0.041,0.075,0.177
"P22","Nunca lo votaría",0.32,0.896,0.811,0.695,0.853,0.85,0.755,0.6
"P22","No sabe",0.097,0.047,0.066,0.105,0.053,0.091,0.138,0.178
"P23","Lo votaría",0.027,0.113,0.043,0.089,0.005,0.041,0.005,0.019
"P23","Puede que lo vote",0.068,0.235,0.147,0.129,0.185,0.094,0.091,0.072
"P23","Nunca lo votaría",0.688,0.463,0.562,0.542,0.551,0.637,0.671,0.578
"P23","No sabe",0.217,0.189,0.248,0.24,0.259,0.228,0.233,0.331
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.319,0.013,0.021,0.042,0.091,0.018,0.014,0.03
