"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P52","Ni buena ni mala",0.084,0.297,0.105,0.292,0.273,0.235,0.115,0.201
"P52","Mala",0.221,0.065,0.051,0.156,0.122,0.191,0.29,0.145
"P52","Muy mala",0.636,0.095,0.078,0.229,0.225,0.386,0.434,0.514
"P52","No sabe",0.005,0.003,0,0.025,0.014,0.019,0.005,0.034
"P53","Muy buena",0.131,0.044,0.076,0.117,0,0.01,0.003,0.047
"P53","Buena",0.377,0.079,0.104,0.116,0.083,0.047,0.059,0.119
"P53","Ni buena ni mala",0.285,0.088,0.081,0.241,0.078,0.086,0.152,0.234
"P53","Mala",0.089,0.097,0.148,0.126,0.13,0.141,0.258,0.141
"P53","Muy mala",0.104,0.687,0.578,0.379,0.703,0.7,0.528,0.415
"P53","No sabe",0.014,0.005,0.013,0.021,0.006,0.016,0,0.044
"P54","Muy buena",0.038,0.662,0.279,0.127,0.172,0.21,0.104,0.077
"P54","Buena",0.062,0.187,0.282,0.194,0.288,0.261,0.056,0.101
"P54","Ni buena ni mala",0.056,0.031,0.198,0.177,0.152,0.214,0.065,0.14
"P54","Mala",0.122,0.016,0.052,0.155,0.156,0.117,0.113,0.136
"P54","Muy mala",0.711,0.102,0.166,0.321,0.232,0.19,0.659,0.504
"P54","No sabe",0.011,0.002,0.023,0.026,0,0.008,0.003,0.042
"P55","Muy buena",0.032,0.228,0.072,0.067,0.14,0.708,0.274,0.21
"P55","Buena",0.028,0.23,0.145,0.094,0.217,0.164,0.08,0.059
"P55","Ni buena ni mala",0.042,0.286,0.362,0.265,0.228,0.072,0.04,0.189
"P55","Mala",0.121,0.113,0.127,0.166,0.112,0.024,0.042,0.091
"P55","Muy mala",0.76,0.114,0.254,0.408,0.299,0.02,0.564,0.384
"P55","No sabe",0.017,0.029,0.04,0,0.004,0.012,0,0.067
"P56","Muy buena",0.017,0.263,0.295,0.121,0.155,0.126,0.204,0.083
"P56","Buena",0.031,0.393,0.315,0.199,0.199,0.174,0.024,0.105
"P56","Ni buena ni mala",0.026,0.212,0.166,0.223,0.209,0.23,0.123,0.16
"P56","Mala",0.161,0.065,0.066,0.134,0.082,0.223,0.075,0.14
"P56","Muy mala",0.751,0.065,0.151,0.323,0.355,0.23,0.574,0.474
"P56","No sabe",0.014,0.002,0.007,0,0,0.017,0,0.038
"P57","Muy buena",0.187,0.062,0.044,0.082,0.034,0.019,0.068,0.015
"P57","Buena",0.427,0.071,0.109,0.202,0.051,0.037,0.049,0.165
"P57","Ni buena ni mala",0.208,0.111,0.181,0.16,0.15,0.123,0.194,0.253
"P57","Mala",0.059,0.158,0.181,0.167,0.125,0.155,0.207,0.118
"P57","Muy mala",0.117,0.593,0.48,0.389,0.64,0.645,0.463,0.421
"P57","No sabe",0.002,0.005,0.005,0,0,0.021,0.019,0.028
"P58","Muy buena",0.04,0.06,0.101,0.302,0.106,0.084,0.056,0.047
"P58","Buena",0.13,0.179,0.254,0.263,0.191,0.109,0.095,0.092
"P58","Ni buena ni mala",0.373,0.362,0.398,0.222,0.252,0.281,0.245,0.338
"P58","Mala",0.224,0.156,0.118,0.043,0.211,0.147,0.159,0.164
"P58","Muy mala",0.176,0.207,0.097,0.138,0.23,0.303,0.359,0.273
"P58","No sabe",0.057,0.036,0.032,0.032,0.01,0.076,0.086,0.086
"P59","Siempre",0.303,0.318,0.349,0.374,0.386,0.256,0.285,0.226
"P59","Casi siempre",0.436,0.398,0.396,0.307,0.349,0.356,0.338,0.346
"P59","Casi nunca",0.182,0.204,0.198,0.261,0.235,0.244,0.27,0.31
"P59","Nunca, pero esta es una excepción",0.079,0.08,0.057,0.058,0.03,0.144,0.107,0.118
"P60","Si",0.615,0.591,0.557,0.555,0.64,0.588,0.633,0.46
"P60","No",0.385,0.409,0.443,0.445,0.36,0.412,0.367,0.54
