"var","categoria","1","2","3","4","5","6","7","8","9"
"P05","Tengo trabajo estable",0.481,0.484,0.616,0.618,0.554,0.647,0.636,0.553,0.46
"P05","Realizo changas o trabajos de vez en cuando",0.145,0.185,0.111,0.144,0.18,0.095,0.141,0.142,0.181
"P05","No tengo trabajo",0.169,0.152,0.126,0.099,0.13,0.101,0.074,0.144,0.165
"P05","Soy jubilado o pensionado",0.205,0.179,0.147,0.139,0.136,0.157,0.149,0.161,0.194
"P06","1",0.412,0.205,0.099,0.129,0.136,0.125,0.128,0.264,0.482
"P06","2",0.052,0.23,0.073,0.03,0.035,0.033,0.042,0.106,0.054
"P06","3",0.018,0.037,0.246,0.051,0.033,0.071,0.128,0.095,0.041
"P06","4",0.016,0.051,0.069,0.375,0.058,0.113,0.077,0.083,0.031
"P06","5",0.103,0.117,0.105,0.135,0.574,0.256,0.224,0.117,0.102
"P06","6",0.025,0.05,0.122,0.075,0.04,0.271,0.062,0.059,0.012
"P06","7",0.062,0.114,0.19,0.136,0.035,0.075,0.267,0.056,0.01
"P06","8",0.046,0.078,0.046,0.034,0.032,0.026,0.033,0.17,0.024
"P06","9",0.266,0.118,0.05,0.035,0.057,0.03,0.039,0.05,0.244
"P08","1",0.577,0.356,0.455,0.37,0.298,0.348,0.313,0.213,0.284
"P08","2",0.013,0.17,0.068,0.026,0.032,0.037,0.052,0.059,0.014
"P08","3",0.019,0.043,0.109,0.029,0.019,0.061,0.025,0.047,0.01
"P08","4",0.008,0.042,0.028,0.119,0.022,0.022,0.038,0.04,0.017
"P08","5",0.053,0.063,0.068,0.12,0.253,0.142,0.119,0.133,0.095
"P08","6",0.007,0.009,0.005,0.034,0.029,0.119,0.035,0.015,0.014
"P08","7",0.007,0.012,0.028,0.037,0.041,0.043,0.127,0.063,0.024
"P08","8",0.008,0.028,0.05,0.055,0.049,0.038,0.08,0.143,0.023
"P08","9",0.308,0.277,0.189,0.21,0.257,0.19,0.211,0.287,0.519
"P10","Del Frente de Todos y el peronismo",0.513,0.432,0.448,0.33,0.225,0.214,0.181,0.194,0.142
"P10","De Cambiemos",0.203,0.278,0.253,0.305,0.325,0.443,0.404,0.31,0.374
"P10","De los Liberales libertarios",0.109,0.136,0.111,0.158,0.186,0.178,0.253,0.342,0.329
"P10","De la Izquierda",0.046,0.033,0.093,0.058,0.035,0.034,0.027,0.024,0.04
"P10","No sabe",0.129,0.121,0.095,0.149,0.229,0.131,0.135,0.13,0.115
"P11","A Alberto Fernández",0.159,0.128,0.08,0.116,0.168,0.214,0.234,0.176,0.296
"P11","A Sergio Massa",0.163,0.12,0.224,0.203,0.219,0.311,0.295,0.264,0.186
"P11","A algún candidato del peronismo",0.146,0.186,0.203,0.266,0.194,0.252,0.121,0.121,0.163
"P11","A algún candidato del kirchnerismo",0.532,0.566,0.493,0.415,0.419,0.223,0.35,0.439,0.355
"P12","A Alberto Fernández",0.106,0.108,0.092,0.112,0.053,0.055,0.032,0.064,0.158
"P12","A Sergio Massa",0.104,0.056,0.143,0.145,0.148,0.316,0.124,0.187,0.103
"P12","A algún candidato del peronismo",0.086,0.097,0.104,0.168,0.177,0.179,0.137,0.181,0.209
"P12","A Cristina Fernández de Kirchner",0.704,0.739,0.661,0.575,0.622,0.45,0.707,0.568,0.53
"P13","A Horacio Rodriguez Larreta",0.331,0.381,0.194,0.284,0.328,0.243,0.167,0.3,0.184
"P13","A Patricia Bullrich",0.497,0.451,0.73,0.53,0.52,0.6,0.73,0.59,0.726
"P13","A Facundo Manes",0.107,0.046,0.072,0.136,0.083,0.115,0.059,0.089,0.03
"P13","A Gerardo Morales",0.065,0.122,0.004,0.05,0.069,0.042,0.044,0.021,0.06
"P14","Lo votaría",0.465,0.391,0.432,0.248,0.201,0.155,0.147,0.151,0.101
"P14","Puede que lo vote",0.081,0.104,0.125,0.139,0.09,0.13,0.066,0.045,0.058
"P14","Nunca lo votaría",0.389,0.431,0.385,0.518,0.615,0.64,0.689,0.751,0.775
"P14","No sabe",0.065,0.074,0.058,0.095,0.094,0.075,0.098,0.053,0.066
"P15","Lo votaría",0.151,0.121,0.079,0.049,0.071,0.076,0.075,0.057,0.067
"P15","Puede que lo vote",0.261,0.279,0.323,0.269,0.176,0.162,0.148,0.081,0.091
"P15","Nunca lo votaría",0.451,0.425,0.506,0.534,0.635,0.709,0.685,0.769,0.761
"P15","No sabe",0.137,0.175,0.092,0.148,0.118,0.053,0.092,0.093,0.081
"P16","Lo votaría",0.126,0.185,0.068,0.139,0.149,0.168,0.141,0.172,0.228
"P16","Puede que lo vote",0.154,0.137,0.183,0.196,0.258,0.391,0.372,0.309,0.235
"P16","Nunca lo votaría",0.628,0.586,0.662,0.559,0.452,0.356,0.385,0.423,0.446
"P16","No sabe",0.092,0.092,0.087,0.106,0.141,0.085,0.102,0.096,0.091
"P17","Lo votaría",0.105,0.116,0.073,0.104,0.105,0.157,0.116,0.121,0.201
"P17","Puede que lo vote",0.141,0.126,0.181,0.239,0.239,0.301,0.358,0.279,0.233
"P17","Nunca lo votaría",0.634,0.653,0.629,0.565,0.477,0.425,0.387,0.474,0.447
"P17","No sabe",0.12,0.105,0.117,0.092,0.179,0.117,0.139,0.126,0.119
"P18","Lo votaría",0.152,0.12,0.12,0.142,0.097,0.069,0.099,0.099,0.084
"P18","Puede que lo vote",0.275,0.269,0.324,0.204,0.175,0.136,0.127,0.127,0.085
"P18","Nunca lo votaría",0.466,0.538,0.515,0.585,0.629,0.759,0.685,0.716,0.784
"P18","No sabe",0.107,0.073,0.041,0.069,0.099,0.036,0.089,0.058,0.047
"P19","Lo votaría",0.098,0.084,0.029,0.062,0.086,0.074,0.035,0.049,0.106
"P19","Puede que lo vote",0.125,0.164,0.113,0.148,0.174,0.149,0.147,0.168,0.163
"P19","Nunca lo votaría",0.694,0.688,0.806,0.737,0.639,0.731,0.732,0.712,0.658
"P19","No sabe",0.083,0.064,0.052,0.053,0.101,0.046,0.086,0.071,0.073
"P20","Lo votaría",0.099,0.097,0.067,0.066,0.124,0.146,0.228,0.322,0.306
"P20","Puede que lo vote",0.134,0.131,0.178,0.24,0.233,0.324,0.282,0.283,0.256
"P20","Nunca lo votaría",0.661,0.676,0.696,0.626,0.507,0.46,0.398,0.337,0.339
"P20","No sabe",0.106,0.096,0.059,0.068,0.136,0.07,0.092,0.058,0.099
"P21","Lo votaría",0.043,0.033,0.041,0.033,0.046,0.05,0.04,0.053,0.036
"P21","Puede que lo vote",0.086,0.089,0.097,0.147,0.117,0.124,0.13,0.097,0.097
"P21","Nunca lo votaría",0.643,0.639,0.626,0.558,0.568,0.525,0.511,0.568,0.596
"P21","No sabe",0.228,0.239,0.236,0.262,0.269,0.301,0.319,0.282,0.271
"P22","Lo votaría",0.147,0.065,0.073,0.069,0.048,0.033,0.046,0.032,0.031
"P22","Puede que lo vote",0.24,0.23,0.309,0.21,0.132,0.152,0.09,0.073,0.078
"P22","Nunca lo votaría",0.487,0.565,0.559,0.647,0.701,0.751,0.761,0.795,0.813
"P22","No sabe",0.126,0.14,0.059,0.074,0.119,0.064,0.103,0.1,0.078
"P23","Lo votaría",0.039,0.037,0.019,0.049,0.048,0.07,0.084,0.058,0.057
"P23","Puede que lo vote",0.085,0.109,0.086,0.131,0.121,0.192,0.229,0.127,0.141
"P23","Nunca lo votaría",0.635,0.608,0.651,0.592,0.558,0.487,0.385,0.592,0.607
"P23","No sabe",0.241,0.246,0.244,0.228,0.273,0.251,0.302,0.223,0.195
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.166,0.159,0.103,0.128,0.073,0.063,0.056,0.092,0.043
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.329,0.225,0.336,0.148,0.116,0.128,0.111,0.09,0.065
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.173,0.202,0.207,0.257,0.237,0.32,0.359,0.239,0.324
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.093,0.113,0.108,0.101,0.148,0.133,0.131,0.113,0.13
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.022,0.03,0.006,0.032,0.052,0.068,0.036,0.044,0.038
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.034,0.071,0.084,0.08,0.058,0.064,0.04,0.043,0.031
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.015,0.019,0.006,0.011,0.015,0.03,0.039,0.024
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.074,0.071,0.035,0.091,0.132,0.12,0.133,0.273,0.277
"P24","A los candidatos del Frente de Izquierda",0.025,0.024,0.041,0.041,0.018,0.001,0.009,0.013,0.009
"P24","No sabe",0.075,0.09,0.061,0.116,0.155,0.088,0.095,0.054,0.059
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.154,0.11,0.088,0.088,0.07,0.052,0.06,0.039,0.05
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.355,0.328,0.334,0.173,0.142,0.128,0.119,0.108,0.067
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.144,0.195,0.198,0.25,0.207,0.241,0.364,0.258,0.31
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.069,0.095,0.05,0.082,0.134,0.148,0.094,0.111,0.102
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.021,0.034,0.014,0.044,0.044,0.065,0.046,0.035,0.025
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.041,0.015,0.074,0.083,0.061,0.102,0.042,0.022,0.032
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.007,0.022,0.015,0.02,0.02,0.023,0.024,0.039
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.1,0.11,0.08,0.093,0.142,0.128,0.162,0.312,0.301
"P25","A los candidatos del Frente de Izquierda",0.032,0.036,0.042,0.041,0.018,0.024,0.008,0.017,0.017
"P25","No sabe",0.077,0.07,0.098,0.131,0.162,0.092,0.082,0.074,0.057
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.413,0.366,0.36,0.238,0.205,0.139,0.142,0.106,0.103
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.153,0.178,0.184,0.241,0.198,0.311,0.366,0.255,0.288
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.086,0.1,0.087,0.105,0.101,0.153,0.105,0.136,0.092
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.048,0.053,0.031,0.045,0.082,0.064,0.069,0.047,0.069
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.029,0.029,0.035,0.073,0.069,0.049,0.045,0.052,0.028
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.002,0.037,0.009,0.027,0.026,0.029,0.02,0.028
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.087,0.027,0.081,0.094,0.119,0.126,0.224,0.232
"P26","A los candidatos del Frente de Izquierda",0.083,0.068,0.116,0.06,0.077,0.065,0.047,0.071,0.089
"P26","No sabe",0.122,0.117,0.123,0.148,0.147,0.074,0.071,0.089,0.071
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.438,0.418,0.389,0.283,0.197,0.186,0.14,0.158,0.119
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.169,0.191,0.194,0.211,0.227,0.316,0.327,0.246,0.33
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.09,0.125,0.062,0.109,0.138,0.147,0.144,0.13,0.107
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.041,0.032,0.091,0.082,0.08,0.066,0.055,0.036,0.034
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.02,0.003,0.007,0.029,0.032,0.029,0.034,0.029,0.029
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.08,0.074,0.082,0.089,0.112,0.113,0.161,0.237,0.231
"P27","A los candidatos del Frente de Izquierda",0.042,0.062,0.094,0.054,0.043,0.034,0.017,0.026,0.036
"P27","No sabe",0.12,0.095,0.081,0.143,0.171,0.109,0.122,0.138,0.114
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.431,0.371,0.378,0.248,0.189,0.182,0.175,0.115,0.106
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.167,0.214,0.196,0.249,0.244,0.261,0.326,0.283,0.334
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.076,0.092,0.06,0.112,0.144,0.16,0.11,0.102,0.102
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.05,0.033,0.047,0.085,0.07,0.082,0.043,0.028,0.051
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.019,0.031,0.006,0.013,0.028,0.015,0.06,0.046,0.034
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.078,0.081,0.11,0.095,0.131,0.149,0.137,0.263,0.241
"P28","A los candidatos del Frente de Izquierda",0.049,0.032,0.09,0.052,0.03,0.019,0.016,0.036,0.028
"P28","No sabe",0.13,0.146,0.113,0.146,0.164,0.132,0.133,0.127,0.104
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.466,0.384,0.391,0.249,0.223,0.215,0.213,0.152,0.11
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.176,0.188,0.216,0.277,0.224,0.236,0.344,0.273,0.347
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.082,0.076,0.069,0.084,0.124,0.155,0.096,0.128,0.101
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.035,0.036,0.064,0.054,0.067,0.062,0.037,0.039,0.04
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.024,0.015,0.016,0.028,0.02,0.027,0.02,0.026
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.079,0.151,0.08,0.095,0.146,0.165,0.155,0.279,0.271
"P29","A los candidatos del Frente de Izquierda",0.046,0.032,0.092,0.061,0.042,0.022,0.029,0.019,0.023
"P29","No sabe",0.105,0.109,0.073,0.164,0.146,0.125,0.099,0.09,0.082
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.428,0.378,0.386,0.242,0.254,0.341,0.229,0.221,0.165
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.261,0.263,0.274,0.265,0.27,0.274,0.286,0.242,0.252
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.127,0.177,0.133,0.19,0.232,0.217,0.287,0.382,0.405
"P30","A los candidatos del Frente de Izquierda",0.038,0.071,0.075,0.05,0.032,0.038,0.03,0.044,0.019
"P30","No sabe",0.146,0.111,0.132,0.253,0.212,0.13,0.168,0.111,0.159
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.451,0.437,0.406,0.251,0.281,0.38,0.272,0.232,0.23
