"var","categoria","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.571,0.552,0.606,0.604,0.503
"P05","Realizo changas o trabajos de vez en cuando",0.112,0.097,0.171,0.133,0.145
"P05","No tengo trabajo",0.084,0.115,0.151,0.11,0.147
"P05","Soy jubilado o pensionado",0.233,0.236,0.072,0.153,0.205
"P06","1",0.214,0.304,0.406,0.112,0.215
"P06","2",0.05,0.052,0.082,0.035,0.041
"P06","3",0.027,0.073,0.098,0.026,0.029
"P06","4",0.052,0.072,0.057,0.011,0.097
"P06","5",0.195,0.225,0.21,0.133,0.301
"P06","6",0.079,0.037,0.02,0.059,0.056
"P06","7",0.126,0.072,0.025,0.111,0.078
"P06","8",0.055,0.045,0.02,0.105,0.053
"P06","9",0.202,0.12,0.082,0.408,0.13
"P07","1",0.375,0.274,0.137,0.369,0.225
"P07","2",0.066,0.048,0.038,0.04,0.049
"P07","3",0.062,0.054,0.024,0.111,0.043
"P07","4",0.037,0.04,0.037,0.068,0.057
"P07","5",0.17,0.209,0.184,0.189,0.264
"P07","6",0.06,0.051,0.043,0.045,0.049
"P07","7",0.052,0.071,0.077,0.025,0.069
"P07","8",0.045,0.054,0.089,0.047,0.04
"P07","9",0.133,0.199,0.371,0.106,0.204
"P08","1",0.532,0.381,0.184,0.678,0.392
"P08","2",0.041,0.032,0.03,0.022,0.041
"P08","3",0.031,0.022,0.03,0.025,0.032
"P08","4",0.021,0.032,0.027,0.052,0.031
"P08","5",0.083,0.137,0.151,0.073,0.116
"P08","6",0.018,0.023,0.022,0,0.028
"P08","7",0.02,0.041,0.045,0.038,0.038
"P08","8",0.019,0.046,0.065,0.003,0.026
"P08","9",0.235,0.286,0.446,0.109,0.296
"P10","Del Frente de Todos y el peronismo",0.614,0.296,0.032,0.316,0.319
"P10","De Cambiemos",0.295,0.581,0.161,0.057,0.356
"P10","De los Liberales libertarios",0.024,0.045,0.727,0.039,0.057
"P10","De la Izquierda",0.011,0.016,0.014,0.475,0.017
"P10","No sabe",0.056,0.062,0.066,0.113,0.251
"P11","A Alberto Fernández",0.19,0.123,0.177,0.006,0.053
"P11","A Sergio Massa",0.181,0.229,0.324,0.195,0.176
"P11","A algún candidato del peronismo",0.142,0.136,0.363,0.094,0.139
"P11","A algún candidato del kirchnerismo",0.487,0.512,0.136,0.705,0.632
"P12","A Alberto Fernández",0.091,0.072,0.121,0,0.003
"P12","A Sergio Massa",0.121,0.134,0.215,0.128,0.112
"P12","A algún candidato del peronismo",0.084,0.093,0.363,0.097,0.125
"P12","A Cristina Fernández de Kirchner",0.704,0.701,0.301,0.775,0.76
"P13","A Horacio Rodriguez Larreta",0.307,0.323,0.04,0.033,0.116
"P13","A Patricia Bullrich",0.545,0.596,0.909,0.342,0.746
"P13","A Facundo Manes",0.117,0.047,0.044,0.366,0.078
"P13","A Gerardo Morales",0.031,0.034,0.007,0.259,0.06
"P14","Lo votaría",0.542,0.272,0.028,0.363,0.252
"P14","Puede que lo vote",0.083,0.067,0.033,0.243,0.1
"P14","Nunca lo votaría",0.311,0.622,0.925,0.254,0.529
"P14","No sabe",0.064,0.039,0.014,0.14,0.119
"P15","Lo votaría",0.184,0.071,0.022,0.088,0.089
"P15","Puede que lo vote",0.323,0.204,0.052,0.233,0.183
"P15","Nunca lo votaría",0.391,0.663,0.874,0.507,0.575
"P15","No sabe",0.102,0.062,0.052,0.172,0.153
"P16","Lo votaría",0.163,0.32,0.094,0.042,0.095
"P16","Puede que lo vote",0.192,0.273,0.255,0.034,0.245
"P16","Nunca lo votaría",0.576,0.346,0.583,0.836,0.529
"P16","No sabe",0.069,0.061,0.068,0.088,0.131
"P17","Lo votaría",0.126,0.242,0.11,0.026,0.112
"P17","Puede que lo vote",0.161,0.288,0.258,0.045,0.226
"P17","Nunca lo votaría",0.638,0.367,0.523,0.834,0.5
"P17","No sabe",0.075,0.103,0.109,0.095,0.162
"P18","Lo votaría",0.205,0.102,0.045,0.108,0.101
"P18","Puede que lo vote",0.309,0.213,0.077,0.182,0.201
"P18","Nunca lo votaría",0.436,0.646,0.85,0.594,0.577
"P18","No sabe",0.05,0.039,0.028,0.116,0.121
"P19","Lo votaría",0.062,0.066,0.08,0.037,0.059
"P19","Puede que lo vote",0.139,0.136,0.226,0.094,0.107
"P19","Nunca lo votaría",0.737,0.75,0.632,0.788,0.71
"P19","No sabe",0.062,0.048,0.062,0.081,0.124
"P20","Lo votaría",0.069,0.141,0.417,0.014,0.098
"P20","Puede que lo vote",0.165,0.259,0.276,0.086,0.212
"P20","Nunca lo votaría",0.709,0.517,0.244,0.845,0.557
"P20","No sabe",0.057,0.083,0.063,0.055,0.133
"P21","Lo votaría",0.024,0.058,0.056,0.016,0.041
"P21","Puede que lo vote",0.082,0.152,0.127,0.06,0.092
"P21","Nunca lo votaría",0.681,0.549,0.528,0.674,0.576
"P21","No sabe",0.213,0.241,0.289,0.25,0.291
"P22","Lo votaría",0.158,0.061,0.025,0.04,0.034
"P22","Puede que lo vote",0.296,0.159,0.041,0.239,0.161
"P22","Nunca lo votaría",0.46,0.697,0.853,0.573,0.681
"P22","No sabe",0.086,0.083,0.081,0.148,0.124
"P23","Lo votaría",0.056,0.062,0.041,0.046,0.039
"P23","Puede que lo vote",0.127,0.168,0.133,0.116,0.115
"P23","Nunca lo votaría",0.586,0.553,0.607,0.593,0.575
"P23","No sabe",0.231,0.217,0.219,0.245,0.271
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.183,0.116,0.015,0.125,0.076
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.368,0.151,0.042,0.308,0.181
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.193,0.395,0.259,0.06,0.297
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.155,0.176,0.06,0.101,0.049
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.034,0.038,0.022,0.026,0.057
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.025,0.066,0.025,0.052,0.066
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.006,0.03,0.003,0.023
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.013,0.531,0.014,0.026
"P24","A los candidatos del Frente de Izquierda",0.002,0.007,0.001,0.253,0.004
"P24","No sabe",0.029,0.032,0.015,0.058,0.221
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.205,0.074,0.014,0.091,0.019
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.407,0.211,0.009,0.34,0.253
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.155,0.381,0.212,0.038,0.29
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.131,0.181,0.023,0.022,0.023
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.012,0.046,0.019,0.011,0.055
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.05,0.048,0.029,0.049,0.058
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.016,0.046,0.003,0.023
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.006,0.015,0.626,0.026,0.037
"P25","A los candidatos del Frente de Izquierda",0.004,0.005,0.002,0.349,0.012
"P25","No sabe",0.027,0.023,0.02,0.071,0.23
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.545,0.246,0.037,0.165,0.194
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.167,0.373,0.206,0.039,0.287
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.119,0.176,0.03,0.043,0.061
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.074,0.069,0.02,0.036,0.074
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.017,0.05,0.02,0.057,0.061
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.019,0.026,0.001,0.018
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.006,0.016,0.46,0.034,0.023
"P26","A los candidatos del Frente de Izquierda",0.01,0.012,0.18,0.405,0.023
"P26","No sabe",0.057,0.039,0.021,0.22,0.259
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.568,0.264,0.027,0.284,0.209
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.187,0.375,0.22,0.035,0.303
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.143,0.203,0.027,0.003,0.038
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.024,0.076,0.021,0.044,0.071
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.012,0.02,0.038,0.029,0.033
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.013,0.529,0.005,0.023
"P27","A los candidatos del Frente de Izquierda",0.006,0.009,0.055,0.482,0.01
"P27","No sabe",0.056,0.04,0.083,0.118,0.313
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.606,0.27,0.022,0.09,0.081
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.181,0.382,0.218,0.029,0.296
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.117,0.207,0.02,0.014,0.033
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.034,0.057,0.046,0.09,0.07
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.026,0.048,0.003,0.041
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.013,0.565,0.008,0.03
"P28","A los candidatos del Frente de Izquierda",0.01,0.006,0.013,0.598,0.028
"P28","No sabe",0.034,0.039,0.068,0.168,0.421
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.613,0.249,0.039,0.162,0.205
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.153,0.409,0.228,0.035,0.29
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.133,0.19,0.008,0.041,0.035
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.022,0.053,0.032,0.081,0.055
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.019,0.035,0.003,0.023
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.022,0.595,0.029,0.033
"P29","A los candidatos del Frente de Izquierda",0.014,0.013,0.009,0.597,0.019
"P29","No sabe",0.044,0.045,0.054,0.052,0.34
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.88,0.024,0.034,0.146,0.177
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.026,0.866,0.031,0.131,0.104
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.037,0.881,0.008,0.035
"P30","A los candidatos del Frente de Izquierda",0.018,0.004,0.014,0.583,0.017
"P30","No sabe",0.059,0.069,0.04,0.132,0.667
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.894,0.032,0.079,0.176,0.283
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.015,0.836,0.128,0.161,0.212
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.032,0.762,0.006,0.043
"P31","A los candidatos del Frente de Izquierda",0.02,0.01,0.005,0.61,0.003
"P31","No sabe",0.057,0.09,0.026,0.047,0.459
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.912,0.025,0.073,0.058,0.164
