"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.595,0.485,0.476,0.659,0.613,0.651,0.543,0.568
"P05","Realizo changas o trabajos de vez en cuando",0.099,0.12,0.162,0.095,0.153,0.168,0.195,0.161
"P05","No tengo trabajo",0.099,0.139,0.113,0.089,0.098,0.123,0.177,0.141
"P05","Soy jubilado o pensionado",0.207,0.256,0.249,0.157,0.136,0.058,0.085,0.13
"P06","1",0.175,0.412,0.334,0.29,0.265,0.392,0.107,0.176
"P06","2",0.037,0.062,0.077,0.044,0.015,0.078,0.027,0.046
"P06","3",0.019,0.09,0.061,0.063,0.097,0.088,0.038,0.031
"P06","4",0.035,0.092,0.083,0.067,0.058,0.048,0.03,0.086
"P06","5",0.18,0.185,0.269,0.312,0.394,0.211,0.167,0.311
"P06","6",0.079,0.028,0.058,0.065,0.027,0.021,0.047,0.057
"P06","7",0.155,0.027,0.023,0.06,0.012,0.023,0.136,0.096
"P06","8",0.074,0.026,0.019,0.029,0.054,0.019,0.085,0.052
"P06","9",0.246,0.078,0.076,0.07,0.078,0.12,0.363,0.145
"P07","1",0.453,0.19,0.217,0.201,0.137,0.133,0.323,0.258
"P07","2",0.07,0.038,0.038,0.039,0.058,0.048,0.042,0.051
"P07","3",0.069,0.042,0.034,0.067,0.035,0.024,0.116,0.033
"P07","4",0.038,0.047,0.035,0.05,0.032,0.025,0.067,0.064
"P07","5",0.163,0.181,0.247,0.291,0.276,0.184,0.219,0.269
"P07","6",0.038,0.046,0.075,0.065,0.047,0.05,0.028,0.055
"P07","7",0.049,0.087,0.06,0.05,0.084,0.061,0.047,0.057
