"var","categoria","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.626,0.495,0.639,0.705,0.515
"P05","Realizo changas o trabajos de vez en cuando",0.088,0.11,0.16,0.123,0.155
"P05","No tengo trabajo",0.089,0.128,0.144,0.082,0.141
"P05","Soy jubilado o pensionado",0.197,0.267,0.057,0.09,0.189
"P06","1",0.174,0.362,0.381,0.07,0.2
"P06","2",0.04,0.061,0.087,0.049,0.044
"P06","3",0.017,0.083,0.103,0.032,0.046
"P06","4",0.036,0.087,0.06,0.017,0.096
"P06","5",0.179,0.236,0.223,0.132,0.31
"P06","6",0.072,0.036,0.017,0.061,0.06
"P06","7",0.163,0.031,0.024,0.132,0.085
"P06","8",0.072,0.03,0.023,0.097,0.047
"P06","9",0.247,0.074,0.082,0.41,0.112
"P07","1",0.448,0.173,0.131,0.349,0.249
"P07","2",0.069,0.043,0.036,0.039,0.066
"P07","3",0.077,0.036,0.034,0.119,0.036
"P07","4",0.038,0.037,0.034,0.081,0.058
"P07","5",0.148,0.216,0.185,0.2,0.307
"P07","6",0.04,0.07,0.046,0.055,0.034
"P07","7",0.05,0.089,0.067,0.022,0.057
"P07","8",0.032,0.064,0.091,0.035,0.052
"P07","9",0.098,0.272,0.376,0.1,0.141
"P08","1",0.627,0.246,0.187,0.726,0.423
"P08","2",0.03,0.045,0.025,0.019,0.046
"P08","3",0.031,0.028,0.026,0.023,0.031
"P08","4",0.015,0.03,0.032,0.063,0.052
"P08","5",0.064,0.145,0.163,0.058,0.142
"P08","6",0.007,0.031,0.02,0,0.041
"P08","7",0.012,0.055,0.04,0.027,0.028
"P08","8",0.018,0.05,0.066,0.004,0.008
"P08","9",0.196,0.37,0.441,0.08,0.229
"P10","Del Frente de Todos y el peronismo",0.805,0.076,0.022,0.273,0.351
"P10","De Cambiemos",0.089,0.775,0.106,0.071,0.238
"P10","De los Liberales libertarios",0.032,0.091,0.804,0.028,0.048
"P10","De la Izquierda",0.023,0.006,0.009,0.519,0.018
"P10","No sabe",0.051,0.052,0.059,0.109,0.345
"P11","A Alberto Fernández",0.149,0.16,0.074,0.047,0.142
"P11","A Sergio Massa",0.215,0.239,0.23,0.091,0.094
"P11","A algún candidato del peronismo",0.12,0.283,0.49,0.117,0.127
"P11","A algún candidato del kirchnerismo",0.516,0.318,0.206,0.745,0.637
"P12","A Alberto Fernández",0.068,0.103,0.074,0.019,0.06
"P12","A Sergio Massa",0.137,0.167,0.23,0.019,0.047
"P12","A algún candidato del peronismo",0.079,0.201,0.49,0.18,0.11
"P12","A Cristina Fernández de Kirchner",0.716,0.529,0.206,0.782,0.783
"P13","A Horacio Rodriguez Larreta",0.322,0.208,0.178,0.485,0.525
"P13","A Patricia Bullrich",0.307,0.727,0.725,0.231,0.315
"P13","A Facundo Manes",0.33,0.037,0.093,0.108,0.1
"P13","A Gerardo Morales",0.041,0.028,0.004,0.176,0.06
"P14","Lo votaría",0.723,0.058,0.017,0.361,0.253
"P14","Puede que lo vote",0.101,0.053,0.032,0.212,0.095
"P14","Nunca lo votaría",0.112,0.865,0.939,0.268,0.497
"P14","No sabe",0.064,0.024,0.012,0.159,0.155
"P15","Lo votaría",0.229,0.031,0.012,0.076,0.092
"P15","Puede que lo vote",0.445,0.044,0.046,0.256,0.195
"P15","Nunca lo votaría",0.207,0.886,0.872,0.512,0.533
"P15","No sabe",0.119,0.039,0.07,0.156,0.18
"P16","Lo votaría",0.047,0.373,0.09,0.047,0.108
"P16","Puede que lo vote",0.124,0.39,0.213,0.056,0.187
"P16","Nunca lo votaría",0.766,0.18,0.625,0.795,0.519
"P16","No sabe",0.063,0.057,0.072,0.102,0.186
"P17","Lo votaría",0.028,0.341,0.075,0.036,0.088
"P17","Puede que lo vote",0.074,0.4,0.263,0.052,0.156
"P17","Nunca lo votaría",0.825,0.167,0.552,0.819,0.535
"P17","No sabe",0.073,0.092,0.11,0.093,0.221
"P18","Lo votaría",0.267,0.053,0.04,0.023,0.056
"P18","Puede que lo vote",0.431,0.058,0.089,0.199,0.193
"P18","Nunca lo votaría",0.252,0.857,0.85,0.649,0.574
"P18","No sabe",0.05,0.032,0.021,0.129,0.177
"P19","Lo votaría",0.072,0.052,0.076,0.024,0.059
"P19","Puede que lo vote",0.11,0.13,0.275,0.091,0.156
"P19","Nunca lo votaría",0.768,0.765,0.585,0.79,0.608
"P19","No sabe",0.05,0.053,0.064,0.095,0.177
"P20","Lo votaría",0.037,0.233,0.403,0.032,0.06
"P20","Puede que lo vote",0.063,0.396,0.278,0.052,0.126
"P20","Nunca lo votaría",0.851,0.293,0.26,0.853,0.617
"P20","No sabe",0.049,0.078,0.059,0.063,0.197
"P21","Lo votaría",0.01,0.077,0.056,0.005,0.032
"P21","Puede que lo vote",0.051,0.192,0.128,0.05,0.085
"P21","Nunca lo votaría",0.74,0.475,0.503,0.662,0.568
"P21","No sabe",0.199,0.256,0.313,0.283,0.315
"P22","Lo votaría",0.193,0.02,0.015,0.024,0.036
"P22","Puede que lo vote",0.397,0.057,0.039,0.218,0.141
"P22","Nunca lo votaría",0.316,0.873,0.853,0.594,0.634
"P22","No sabe",0.094,0.05,0.093,0.164,0.189
"P23","Lo votaría",0.024,0.108,0.023,0.025,0.021
"P23","Puede que lo vote",0.092,0.221,0.128,0.109,0.086
"P23","Nunca lo votaría",0.663,0.475,0.619,0.568,0.558
"P23","No sabe",0.221,0.196,0.23,0.298,0.335
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.261,0.026,0.006,0.106,0.074
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.453,0.037,0.047,0.323,0.212
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.1,0.62,0.155,0.021,0.096
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.078,0.152,0.078,0.103,0.172
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.006,0.06,0.015,0.041,0.085
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.038,0.054,0.029,0.043,0.065
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.014,0.034,0.004,0.011
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.012,0.623,0.029,0.023
"P24","A los candidatos del Frente de Izquierda",0.006,0.003,0.001,0.29,0.001
"P24","No sabe",0.044,0.022,0.012,0.04,0.261
