"var","categoria","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.549,0.543,0.621,0.686,0.519
"P05","Realizo changas o trabajos de vez en cuando",0.12,0.092,0.171,0.104,0.188
"P05","No tengo trabajo",0.1,0.132,0.146,0.11,0.115
"P05","Soy jubilado o pensionado",0.231,0.233,0.062,0.1,0.178
"P06","1",0.218,0.331,0.395,0.132,0.214
"P06","2",0.05,0.054,0.077,0.04,0.038
"P06","3",0.036,0.062,0.085,0.022,0.059
"P06","4",0.058,0.063,0.061,0.01,0.107
"P06","5",0.19,0.22,0.218,0.16,0.309
"P06","6",0.084,0.032,0.022,0.037,0.049
"P06","7",0.108,0.075,0.029,0.159,0.071
"P06","8",0.059,0.037,0.024,0.126,0.032
"P06","9",0.197,0.126,0.089,0.314,0.121
"P07","1",0.361,0.256,0.135,0.25,0.247
"P07","2",0.067,0.049,0.034,0.044,0.04
"P07","3",0.061,0.05,0.029,0.099,0.039
"P07","4",0.033,0.039,0.029,0.102,0.087
"P07","5",0.171,0.206,0.182,0.214,0.291
"P07","6",0.058,0.051,0.042,0.056,0.04
"P07","7",0.053,0.073,0.078,0.048,0.053
"P07","8",0.041,0.052,0.098,0.09,0.041
"P07","9",0.155,0.224,0.373,0.097,0.162
"P08","1",0.493,0.365,0.194,0.664,0.393
"P08","2",0.043,0.036,0.023,0.025,0.041
"P08","3",0.035,0.025,0.026,0.037,0.026
"P08","4",0.019,0.029,0.03,0.036,0.042
"P08","5",0.088,0.124,0.167,0.089,0.122
"P08","6",0.015,0.027,0.022,0.007,0.024
"P08","7",0.026,0.042,0.037,0.054,0.032
"P08","8",0.022,0.042,0.064,0.003,0.034
"P08","9",0.259,0.31,0.437,0.085,0.286
"P10","Del Frente de Todos y el peronismo",0.589,0.277,0.025,0.236,0.248
"P10","De Cambiemos",0.3,0.589,0.094,0.092,0.315
"P10","De los Liberales libertarios",0.049,0.063,0.796,0.029,0.074
"P10","De la Izquierda",0.013,0.013,0.019,0.483,0.028
"P10","No sabe",0.049,0.058,0.066,0.16,0.335
"P11","A Alberto Fernández",0.159,0.121,0.12,0.136,0.113
"P11","A Sergio Massa",0.191,0.213,0.193,0.12,0.188
"P11","A algún candidato del peronismo",0.143,0.113,0.446,0.137,0.185
"P11","A algún candidato del kirchnerismo",0.507,0.553,0.241,0.607,0.514
"P12","A Alberto Fernández",0.079,0.055,0.073,0.066,0.071
"P12","A Sergio Massa",0.127,0.112,0.139,0.085,0.163
"P12","A algún candidato del peronismo",0.092,0.09,0.493,0.117,0.134
"P12","A Cristina Fernández de Kirchner",0.702,0.743,0.295,0.732,0.632
"P13","A Horacio Rodriguez Larreta",0.171,0.22,0.239,0.39,0.553
"P13","A Patricia Bullrich",0.695,0.709,0.66,0.211,0.271
"P13","A Facundo Manes",0.102,0.04,0.087,0.28,0.102
"P13","A Gerardo Morales",0.032,0.031,0.014,0.119,0.074
"P14","Lo votaría",0.514,0.256,0.019,0.297,0.21
"P14","Puede que lo vote",0.09,0.057,0.037,0.185,0.105
"P14","Nunca lo votaría",0.339,0.649,0.926,0.337,0.552
"P14","No sabe",0.057,0.038,0.018,0.181,0.133
"P15","Lo votaría",0.182,0.065,0.021,0.078,0.056
"P15","Puede que lo vote",0.3,0.188,0.054,0.217,0.181
"P15","Nunca lo votaría",0.421,0.686,0.858,0.55,0.594
"P15","No sabe",0.097,0.061,0.067,0.155,0.169
"P16","Lo votaría",0.143,0.288,0.087,0.048,0.14
"P16","Puede que lo vote",0.223,0.278,0.217,0.082,0.211
"P16","Nunca lo votaría",0.569,0.375,0.619,0.791,0.491
"P16","No sabe",0.065,0.059,0.077,0.079,0.158
"P17","Lo votaría",0.127,0.259,0.074,0.021,0.09
"P17","Puede que lo vote",0.183,0.283,0.244,0.056,0.21
"P17","Nunca lo votaría",0.616,0.361,0.569,0.854,0.488
"P17","No sabe",0.074,0.097,0.113,0.069,0.212
"P18","Lo votaría",0.183,0.094,0.048,0.112,0.108
"P18","Puede que lo vote",0.292,0.186,0.086,0.19,0.201
"P18","Nunca lo votaría",0.469,0.675,0.843,0.641,0.543
"P18","No sabe",0.056,0.045,0.023,0.057,0.148
"P19","Lo votaría",0.056,0.056,0.09,0.078,0.078
"P19","Puede que lo vote",0.128,0.116,0.252,0.077,0.155
"P19","Nunca lo votaría",0.755,0.777,0.592,0.779,0.622
"P19","No sabe",0.061,0.051,0.066,0.066,0.145
"P20","Lo votaría",0.079,0.179,0.4,0.034,0.096
"P20","Puede que lo vote",0.192,0.257,0.273,0.06,0.168
"P20","Nunca lo votaría",0.676,0.484,0.263,0.848,0.566
"P20","No sabe",0.053,0.08,0.064,0.058,0.17
"P21","Lo votaría",0.02,0.058,0.063,0.021,0.045
"P21","Puede que lo vote",0.09,0.147,0.12,0.032,0.103
"P21","Nunca lo votaría",0.675,0.556,0.526,0.729,0.526
"P21","No sabe",0.215,0.239,0.291,0.218,0.326
"P22","Lo votaría",0.138,0.054,0.024,0.047,0.044
"P22","Puede que lo vote",0.281,0.159,0.035,0.15,0.137
"P22","Nunca lo votaría",0.505,0.709,0.846,0.642,0.675
"P22","No sabe",0.076,0.078,0.095,0.161,0.144
"P23","Lo votaría",0.051,0.079,0.027,0.024,0.022
"P23","Puede que lo vote",0.144,0.172,0.105,0.118,0.071
"P23","Nunca lo votaría",0.594,0.535,0.639,0.607,0.595
"P23","No sabe",0.211,0.214,0.229,0.251,0.312
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.189,0.114,0.015,0.027,0.028
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.344,0.157,0.029,0.284,0.149
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.256,0.477,0.151,0.043,0.127
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.108,0.116,0.086,0.109,0.185
