"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Tengo trabajo estable",0.561,0.494,0.6,0.542,0.443
"P05","Realizo changas o trabajos de vez en cuando",0.127,0.137,0.193,0.164,0.209
"P05","No tengo trabajo",0.124,0.125,0.138,0.181,0.177
"P05","Soy jubilado o pensionado",0.188,0.244,0.069,0.113,0.171
"P06","1",0.195,0.37,0.409,0.17,0.216
"P06","2",0.052,0.066,0.068,0.06,0.051
"P06","3",0.021,0.076,0.078,0.017,0.039
"P06","4",0.033,0.094,0.058,0.019,0.065
"P06","5",0.162,0.211,0.217,0.13,0.366
"P06","6",0.072,0.043,0.017,0.075,0.053
"P06","7",0.141,0.035,0.029,0.103,0.047
"P06","8",0.078,0.027,0.025,0.068,0.029
"P06","9",0.246,0.078,0.099,0.358,0.134
"P07","1",0.458,0.181,0.147,0.305,0.24
"P07","2",0.07,0.045,0.033,0.04,0.041
"P07","3",0.064,0.036,0.024,0.098,0.029
"P07","4",0.048,0.044,0.035,0.061,0.045
"P07","5",0.152,0.218,0.188,0.174,0.323
"P07","6",0.033,0.068,0.041,0.039,0.042
"P07","7",0.034,0.075,0.071,0.037,0.053
"P07","8",0.038,0.06,0.1,0.034,0.053
"P07","9",0.103,0.273,0.361,0.212,0.174
"P08","1",0.617,0.26,0.222,0.631,0.322
"P08","2",0.027,0.045,0.025,0.033,0.039
"P08","3",0.033,0.026,0.018,0.023,0.025
"P08","4",0.015,0.027,0.028,0.025,0.025
"P08","5",0.075,0.128,0.157,0.057,0.156
"P08","6",0.013,0.029,0.02,0.028,0.023
"P08","7",0.015,0.045,0.033,0.007,0.039
"P08","8",0.019,0.052,0.064,0.012,0.024
"P08","9",0.186,0.388,0.433,0.184,0.347
"P14","Lo votaría",0.75,0.04,0.036,0.168,0.078
"P14","Puede que lo vote",0.094,0.065,0.022,0.207,0.148
"P14","Nunca lo votaría",0.082,0.869,0.927,0.437,0.545
"P14","No sabe",0.074,0.026,0.015,0.188,0.229
"P15","Lo votaría",0.215,0.027,0.025,0.11,0.071
"P15","Puede que lo vote",0.43,0.069,0.056,0.168,0.135
"P15","Nunca lo votaría",0.216,0.851,0.86,0.592,0.54
"P15","No sabe",0.139,0.053,0.059,0.13,0.254
"P16","Lo votaría",0.04,0.368,0.106,0.055,0.071
"P16","Puede que lo vote",0.125,0.361,0.237,0.146,0.174
"P16","Nunca lo votaría",0.751,0.204,0.596,0.687,0.478
"P16","No sabe",0.084,0.067,0.061,0.112,0.277
"P17","Lo votaría",0.034,0.305,0.084,0.032,0.043
"P17","Puede que lo vote",0.081,0.379,0.245,0.081,0.138
"P17","Nunca lo votaría",0.795,0.193,0.589,0.756,0.511
"P17","No sabe",0.09,0.123,0.082,0.131,0.308
"P18","Lo votaría",0.226,0.057,0.05,0.05,0.103
"P18","Puede que lo vote",0.428,0.051,0.071,0.203,0.145
"P18","Nunca lo votaría",0.269,0.854,0.858,0.642,0.505
"P18","No sabe",0.077,0.038,0.021,0.105,0.247
"P19","Lo votaría",0.069,0.06,0.12,0.103,0.112
"P19","Puede que lo vote",0.118,0.14,0.215,0.136,0.154
"P19","Nunca lo votaría",0.755,0.739,0.614,0.702,0.524
"P19","No sabe",0.058,0.061,0.051,0.059,0.21
"P20","Lo votaría",0.025,0.194,0.434,0.07,0.05
"P20","Puede que lo vote",0.056,0.377,0.254,0.108,0.163
"P20","Nunca lo votaría",0.85,0.334,0.273,0.727,0.499
"P20","No sabe",0.069,0.095,0.039,0.095,0.288
"P21","Lo votaría",0.022,0.069,0.057,0.009,0.009
"P21","Puede que lo vote",0.054,0.174,0.097,0.089,0.062
"P21","Nunca lo votaría",0.738,0.492,0.593,0.646,0.5
"P21","No sabe",0.186,0.265,0.253,0.256,0.429
"P22","Lo votaría",0.183,0.017,0.031,0.039,0.026
"P22","Puede que lo vote",0.396,0.038,0.041,0.166,0.107
"P22","Nunca lo votaría",0.32,0.889,0.858,0.647,0.607
"P22","No sabe",0.101,0.056,0.07,0.148,0.26
"P23","Lo votaría",0.031,0.092,0.047,0.007,0.009
"P23","Puede que lo vote",0.079,0.193,0.119,0.143,0.064
"P23","Nunca lo votaría",0.667,0.502,0.638,0.604,0.513
"P23","No sabe",0.223,0.213,0.196,0.246,0.414
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.254,0.02,0.019,0.075,0.071
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.482,0.041,0.032,0.156,0.052
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.067,0.544,0.16,0.077,0.134
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.063,0.205,0.076,0.07,0.131
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.01,0.074,0.015,0.029,0.042
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.032,0.053,0.033,0.056,0.085
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.015,0.048,0.007,0.008
