"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.265,0.232,0.297,0.304,0.28,0.247,0.225,0.298,0.252,0.244,0.275,0.245,0.27,0.248,0.282
"A Patricia Bullrich",0.602,0.618,0.586,0.53,0.564,0.657,0.67,0.569,0.612,0.628,0.617,0.569,0.435,0.651,0.413
"A Facundo Manes",0.075,0.076,0.073,0.088,0.092,0.059,0.048,0.066,0.087,0.066,0.059,0.108,0.179,0.057,0.111
"A Gerardo Morales",0.058,0.074,0.044,0.078,0.064,0.037,0.057,0.067,0.049,0.062,0.049,0.078,0.116,0.044,0.194
