"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.088,0.077,0.099,0.094,0.085,0.091,0.085,0.125,0.081,0.053,0.089,0.085,0.188,0.024,0.037
"Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.198,0.186,0.208,0.158,0.21,0.213,0.193,0.154,0.207,0.237,0.212,0.169,0.439,0.051,0.078
"Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.228,0.21,0.244,0.144,0.172,0.278,0.37,0.212,0.218,0.262,0.231,0.221,0.067,0.413,0.181
"Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.099,0.073,0.123,0.064,0.096,0.106,0.129,0.096,0.097,0.105,0.102,0.092,0.041,0.161,0.18
"María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.032,0.028,0.037,0.033,0.033,0.032,0.031,0.033,0.035,0.026,0.029,0.04,0.011,0.054,0.047
"Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.047,0.052,0.043,0.046,0.053,0.045,0.038,0.057,0.04,0.046,0.04,0.062,0.033,0.053,0.109
"José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.02,0.021,0.02,0.037,0.014,0.02,0.018,0.016,0.022,0.024,0.02,0.021,0.007,0.024,0.031
"Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.17,0.245,0.098,0.309,0.193,0.106,0.058,0.18,0.188,0.129,0.157,0.197,0.082,0.164,0.207
"A los candidatos del Frente de Izquierda",0.024,0.024,0.024,0.033,0.034,0.011,0.01,0.02,0.026,0.026,0.027,0.018,0.021,0.012,0.02
"No sabe",0.094,0.084,0.104,0.082,0.11,0.098,0.068,0.107,0.086,0.092,0.093,0.095,0.111,0.044,0.11
