"var","categoria","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.573,0.532,0.604,0.675,0.51
"P05","Realizo changas o trabajos de vez en cuando",0.11,0.1,0.178,0.158,0.14
"P05","No tengo trabajo",0.094,0.12,0.148,0.077,0.145
"P05","Soy jubilado o pensionado",0.223,0.248,0.07,0.09,0.205
"P06","1",0.232,0.31,0.386,0.125,0.248
"P06","2",0.047,0.051,0.082,0.052,0.035
"P06","3",0.024,0.058,0.1,0.054,0.049
"P06","4",0.058,0.072,0.052,0.036,0.091
"P06","5",0.18,0.226,0.21,0.104,0.3
"P06","6",0.087,0.037,0.02,0.051,0.039
"P06","7",0.115,0.082,0.026,0.124,0.068
"P06","8",0.059,0.035,0.025,0.104,0.056
"P06","9",0.198,0.129,0.099,0.35,0.114
"P07","1",0.387,0.264,0.138,0.277,0.239
"P07","2",0.068,0.053,0.038,0.102,0.036
"P07","3",0.064,0.051,0.026,0.1,0.039
"P07","4",0.035,0.043,0.034,0.059,0.067
"P07","5",0.172,0.204,0.189,0.174,0.259
"P07","6",0.057,0.051,0.044,0.051,0.039
"P07","7",0.05,0.07,0.075,0.052,0.066
"P07","8",0.044,0.053,0.091,0.069,0.04
"P07","9",0.123,0.211,0.365,0.116,0.215
"P08","1",0.532,0.388,0.188,0.669,0.325
"P08","2",0.047,0.036,0.024,0.04,0.035
"P08","3",0.033,0.024,0.025,0.025,0.033
"P08","4",0.024,0.034,0.027,0.03,0.029
"P08","5",0.078,0.126,0.164,0.097,0.117
"P08","6",0.015,0.025,0.024,0.002,0.021
"P08","7",0.019,0.038,0.046,0.03,0.05
"P08","8",0.021,0.041,0.067,0,0.032
"P08","9",0.231,0.288,0.435,0.107,0.358
"P10","Del Frente de Todos y el peronismo",0.646,0.303,0.026,0.286,0.228
"P10","De Cambiemos",0.258,0.572,0.161,0.112,0.397
"P10","De los Liberales libertarios",0.028,0.05,0.733,0.028,0.071
"P10","De la Izquierda",0.015,0.017,0.014,0.477,0.021
"P10","No sabe",0.053,0.058,0.066,0.097,0.283
"P11","A Alberto Fernández",0.149,0.12,0.137,0.182,0.169
"P11","A Sergio Massa",0.199,0.198,0.1,0.108,0.213
"P11","A algún candidato del peronismo",0.142,0.132,0.604,0.173,0.14
"P11","A algún candidato del kirchnerismo",0.51,0.55,0.159,0.537,0.478
"P12","A Alberto Fernández",0.077,0.05,0.096,0.129,0.07
"P12","A Sergio Massa",0.13,0.117,0.082,0.066,0.165
"P12","A algún candidato del peronismo",0.092,0.102,0.584,0.166,0.099
"P12","A Cristina Fernández de Kirchner",0.701,0.731,0.238,0.639,0.666
"P13","A Horacio Rodriguez Larreta",0.321,0.321,0.051,0.045,0.138
"P13","A Patricia Bullrich",0.54,0.604,0.852,0.549,0.72
"P13","A Facundo Manes",0.113,0.039,0.085,0.104,0.074
"P13","A Gerardo Morales",0.026,0.036,0.012,0.302,0.068
"P14","Lo votaría",0.571,0.284,0.016,0.323,0.169
"P14","Puede que lo vote",0.077,0.06,0.044,0.194,0.119
"P14","Nunca lo votaría",0.283,0.617,0.925,0.315,0.595
