"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.427,0.406,0.448,0.377,0.371,0.464,0.544,0.411,0.426,0.449,0.417,0.448,0.151,0.692,0.409
"Patricia Bullrich","Neutra",0.103,0.122,0.084,0.13,0.112,0.087,0.079,0.12,0.111,0.07,0.094,0.122,0.085,0.101,0.163
"Patricia Bullrich","Negativa",0.458,0.462,0.454,0.48,0.502,0.44,0.367,0.453,0.454,0.468,0.484,0.403,0.751,0.197,0.423
"Patricia Bullrich","No sabe",0.012,0.01,0.014,0.013,0.015,0.009,0.01,0.016,0.009,0.013,0.005,0.027,0.013,0.01,0.005
"José Luis Espert","Positiva",0.328,0.363,0.293,0.344,0.279,0.333,0.412,0.303,0.313,0.38,0.32,0.346,0.11,0.493,0.369
"José Luis Espert","Neutra",0.211,0.184,0.238,0.162,0.211,0.221,0.24,0.228,0.248,0.133,0.205,0.222,0.122,0.267,0.277
"José Luis Espert","Negativa",0.401,0.406,0.396,0.431,0.436,0.407,0.291,0.388,0.389,0.436,0.421,0.361,0.695,0.203,0.333
"José Luis Espert","No sabe",0.06,0.047,0.073,0.063,0.074,0.039,0.057,0.081,0.05,0.051,0.054,0.071,0.073,0.037,0.021
"Javier Milei","Positiva",0.346,0.429,0.262,0.471,0.367,0.289,0.265,0.382,0.357,0.287,0.344,0.35,0.146,0.423,0.456
"Javier Milei","Neutra",0.17,0.127,0.214,0.136,0.138,0.18,0.258,0.151,0.182,0.175,0.169,0.173,0.096,0.238,0.234
"Javier Milei","Negativa",0.459,0.425,0.493,0.388,0.463,0.505,0.45,0.417,0.444,0.53,0.465,0.446,0.731,0.316,0.31
"Javier Milei","No sabe",0.025,0.019,0.031,0.005,0.032,0.026,0.027,0.05,0.017,0.008,0.022,0.031,0.027,0.023,0
"Cristian Ritondo","Positiva",0.299,0.278,0.322,0.208,0.219,0.35,0.485,0.294,0.302,0.302,0.289,0.321,0.101,0.514,0.214
"Cristian Ritondo","Neutra",0.222,0.221,0.223,0.25,0.231,0.222,0.179,0.237,0.227,0.198,0.214,0.239,0.174,0.224,0.326
"Cristian Ritondo","Negativa",0.412,0.454,0.369,0.456,0.47,0.386,0.283,0.396,0.407,0.437,0.43,0.373,0.649,0.211,0.417
"Cristian Ritondo","No sabe",0.067,0.047,0.086,0.086,0.08,0.042,0.053,0.073,0.064,0.063,0.067,0.067,0.076,0.051,0.043
"Diego Santilli","Positiva",0.29,0.268,0.311,0.199,0.215,0.34,0.46,0.29,0.277,0.309,0.273,0.323,0.122,0.503,0.353
"Diego Santilli","Neutra",0.24,0.238,0.243,0.227,0.271,0.241,0.188,0.257,0.247,0.211,0.242,0.238,0.21,0.243,0.228
"Diego Santilli","Negativa",0.408,0.446,0.37,0.497,0.451,0.376,0.283,0.387,0.411,0.428,0.428,0.369,0.606,0.206,0.368
"Diego Santilli","No sabe",0.062,0.048,0.076,0.077,0.063,0.043,0.069,0.066,0.065,0.052,0.057,0.07,0.062,0.048,0.051
"María Eugenia Vidal","Positiva",0.343,0.308,0.378,0.279,0.276,0.377,0.497,0.359,0.335,0.336,0.332,0.365,0.097,0.587,0.291
"María Eugenia Vidal","Neutra",0.149,0.172,0.125,0.185,0.14,0.14,0.147,0.151,0.155,0.138,0.147,0.154,0.081,0.164,0.266
"María Eugenia Vidal","Negativa",0.497,0.513,0.481,0.536,0.566,0.473,0.346,0.467,0.502,0.523,0.512,0.465,0.806,0.245,0.443
"María Eugenia Vidal","No sabe",0.011,0.007,0.016,0,0.018,0.01,0.01,0.023,0.008,0.003,0.009,0.016,0.016,0.004,0
"Joaquín De La Torre","Positiva",0.219,0.206,0.231,0.19,0.147,0.244,0.36,0.219,0.216,0.223,0.21,0.235,0.083,0.356,0.2
"Joaquín De La Torre","Neutra",0.275,0.286,0.265,0.251,0.294,0.288,0.242,0.297,0.28,0.242,0.271,0.285,0.233,0.295,0.29
"Joaquín De La Torre","Negativa",0.328,0.358,0.298,0.396,0.377,0.293,0.211,0.314,0.322,0.354,0.345,0.294,0.52,0.178,0.287
"Joaquín De La Torre","No sabe",0.178,0.15,0.206,0.163,0.182,0.175,0.187,0.17,0.182,0.181,0.174,0.186,0.164,0.171,0.223
"Mauricio Macri","Positiva",0.344,0.334,0.354,0.318,0.293,0.363,0.451,0.327,0.34,0.37,0.334,0.364,0.116,0.638,0.183
"Mauricio Macri","Neutra",0.12,0.121,0.119,0.133,0.112,0.125,0.118,0.119,0.121,0.119,0.108,0.144,0.065,0.144,0.192
"Mauricio Macri","Negativa",0.528,0.54,0.517,0.549,0.587,0.5,0.421,0.537,0.535,0.508,0.552,0.48,0.812,0.215,0.603
"Mauricio Macri","No sabe",0.008,0.005,0.01,0,0.008,0.012,0.01,0.017,0.004,0.003,0.006,0.012,0.007,0.003,0.022
"Facundo Manes","Positiva",0.226,0.241,0.211,0.183,0.218,0.249,0.251,0.27,0.191,0.23,0.201,0.277,0.169,0.258,0.435
"Facundo Manes","Neutra",0.341,0.328,0.355,0.251,0.312,0.401,0.405,0.335,0.355,0.328,0.349,0.325,0.377,0.352,0.364
"Facundo Manes","Negativa",0.379,0.39,0.368,0.517,0.405,0.306,0.297,0.314,0.4,0.421,0.394,0.349,0.387,0.365,0.2
