"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.261,0.245,0.277,0.222,0.269,0.277,0.26,0.256,0.262,0.267,0.273,0.238,0.563,0.081,0.137
"Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.242,0.221,0.262,0.148,0.195,0.282,0.377,0.237,0.229,0.267,0.243,0.24,0.08,0.425,0.16
"Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.113,0.085,0.14,0.079,0.106,0.125,0.144,0.112,0.112,0.115,0.117,0.106,0.06,0.178,0.138
"Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.053,0.052,0.054,0.055,0.053,0.052,0.051,0.051,0.05,0.059,0.042,0.073,0.044,0.052,0.118
"José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.025,0.028,0.022,0.048,0.019,0.026,0.016,0.024,0.022,0.031,0.024,0.027,0.014,0.024,0.073
"Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.136,0.193,0.081,0.24,0.16,0.096,0.042,0.137,0.151,0.113,0.128,0.153,0.052,0.142,0.218
"A los candidatos del Frente de Izquierda",0.042,0.052,0.033,0.049,0.061,0.023,0.021,0.05,0.037,0.041,0.043,0.041,0.03,0.022,0.046
"No sabe",0.128,0.124,0.131,0.159,0.137,0.119,0.089,0.133,0.137,0.107,0.13,0.122,0.157,0.076,0.11
