"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.041,0.037,0.048,0.021
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.013,0.007,0.027,0.019
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.116,0.247,0.187
"P25","A los candidatos del Frente de Izquierda",0.003,0.016,0.025,0.046
"P25","No sabe",0.042,0.081,0.038,0.093
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.671,0.406,0.082,0.172
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.069,0.131,0.353,0.168
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.062,0.082,0.105,0.151
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.032,0.05,0.077,0.066
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.017,0.032,0.034,0.03
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.013,0.02,0.019
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.095,0.185,0.15
"P26","A los candidatos del Frente de Izquierda",0.041,0.074,0.089,0.079
"P26","No sabe",0.074,0.117,0.055,0.165
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.714,0.446,0.094,0.225
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.066,0.144,0.379,0.122
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.047,0.079,0.119,0.177
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.041,0.067,0.039,0.024
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.007,0.032,0.005
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.083,0.207,0.145
"P27","A los candidatos del Frente de Izquierda",0.016,0.038,0.05,0.109
"P27","No sabe",0.072,0.136,0.08,0.193
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.688,0.368,0.079,0.231
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.057,0.158,0.378,0.129
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.035,0.09,0.11,0.176
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.044,0.03,0.057,0.039
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.012,0.018,0.026,0.043
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.095,0.233,0.2
"P28","A los candidatos del Frente de Izquierda",0.027,0.05,0.045,0.031
"P28","No sabe",0.106,0.191,0.072,0.151
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.727,0.438,0.09,0.172
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.061,0.144,0.378,0.13
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.033,0.079,0.11,0.151
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.018,0.038,0.047,0.017
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.006,0.026,0.016
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.049,0.108,0.239,0.24
"P29","A los candidatos del Frente de Izquierda",0.036,0.045,0.042,0.032
"P29","No sabe",0.069,0.142,0.068,0.242
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.545,0.387,0.195,0.207
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.295,0.243,0.254,0.213
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.165,0.362,0.234
"P30","A los candidatos del Frente de Izquierda",0.018,0.031,0.043,0.071
"P30","No sabe",0.088,0.174,0.146,0.275
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.539,0.434,0.245,0.275
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.294,0.256,0.312,0.154
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.062,0.144,0.305,0.237
"P31","A los candidatos del Frente de Izquierda",0.027,0.032,0.042,0.048
"P31","No sabe",0.078,0.134,0.096,0.286
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.513,0.325,0.188,0.273
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.275,0.213,0.261,0.234
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.164,0.371,0.231
"P32","A los candidatos del Frente de Izquierda",0.044,0.064,0.044,0.012
"P32","No sabe",0.109,0.234,0.136,0.25
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.515,0.358,0.226,0.286
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.282,0.218,0.314,0.174
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.137,0.318,0.274
"P33","A los candidatos del Frente de Izquierda",0.037,0.075,0.039,0.029
"P33","No sabe",0.107,0.212,0.103,0.237
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.553,0.414,0.201,0.207
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.287,0.248,0.262,0.134
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.056,0.15,0.363,0.258
"P34","A los candidatos del Frente de Izquierda",0.029,0.061,0.042,0.036
"P34","No sabe",0.075,0.127,0.132,0.365
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.736,0.49,0.101,0.168
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.09,0.184,0.461,0.208
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.066,0.131,0.31,0.234
"P35","A los candidatos del Frente de Izquierda",0.03,0.055,0.039,0.015
"P35","No sabe",0.078,0.14,0.089,0.375
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.77,0.501,0.104,0.113
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.082,0.163,0.381,0.259
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.069,0.168,0.372,0.239
"P36","A los candidatos del Frente de Izquierda",0.015,0.021,0.029,0.031
"P36","No sabe",0.064,0.147,0.114,0.358
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.774,0.499,0.103,0.144
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.059,0.178,0.472,0.246
