"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.276,0.241,0.311,0.184,0.277,0.311,0.309,0.282,0.277,0.267,0.289,0.25,0.432,0.238,0.088
"Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.258,0.227,0.289,0.167,0.222,0.287,0.376,0.271,0.237,0.275,0.264,0.246,0.229,0.33,0.268
"Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.261,0.339,0.183,0.439,0.304,0.185,0.112,0.259,0.275,0.241,0.246,0.291,0.101,0.286,0.348
"A los candidatos del Frente de Izquierda",0.042,0.042,0.043,0.053,0.051,0.033,0.028,0.04,0.043,0.045,0.042,0.043,0.063,0.011,0.064
"No sabe",0.163,0.151,0.174,0.157,0.146,0.184,0.175,0.148,0.168,0.172,0.159,0.17,0.175,0.135,0.232
