"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Si",0.583,0.582,0.584,0.568,0.595,0.59,0.563,0.582,0.578,0.592,0.585,0.578,0.576,0.608,0.517
"No",0.417,0.418,0.416,0.432,0.405,0.41,0.437,0.418,0.422,0.408,0.415,0.422,0.424,0.392,0.483
