"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.2,0.211,0.253,0.067
"P08","Casi siempre",0.332,0.345,0.36,0.437
"P08","Casi nunca",0.33,0.361,0.28,0.352
"P08","Nunca, pero esta es una excepción",0.138,0.083,0.107,0.144
"P09","Muy de acuerdo",0.612,0.311,0.065,0.07
"P09","De acuerdo",0.245,0.268,0.068,0.152
"P09","Ni de acuerdo ni en desacuerdo",0.087,0.297,0.179,0.254
"P09","En desacuerdo",0.025,0.059,0.305,0.359
"P09","Muy en desacuerdo",0.017,0.051,0.363,0.08
"P09","No sabe",0.014,0.014,0.02,0.085
"P10","De acuerdo",0.804,0.516,0.172,0.23
"P10","Ni de acuerdo ni en desacuerdo",0.119,0.276,0.17,0.209
"P10","En desacuerdo",0.042,0.116,0.537,0.097
"P10","No sabe",0.035,0.092,0.121,0.464
"P11","De acuerdo",0.832,0.665,0.275,0.45
"P11","Ni de acuerdo ni en desacuerdo",0.099,0.2,0.251,0.105
"P11","En desacuerdo",0.051,0.103,0.379,0.228
"P11","No sabe",0.018,0.032,0.095,0.217
"P12","De acuerdo",0.922,0.807,0.311,0.55
"P12","Ni de acuerdo ni en desacuerdo",0.047,0.101,0.25,0.088
"P12","En desacuerdo",0.023,0.051,0.338,0.168
"P12","No sabe",0.008,0.041,0.101,0.194
"P13","De acuerdo",0.801,0.559,0.159,0.214
"P13","Ni de acuerdo ni en desacuerdo",0.142,0.362,0.252,0.253
"P13","En desacuerdo",0.036,0.037,0.499,0.076
"P13","No sabe",0.021,0.042,0.09,0.457
"P14","De acuerdo",0.805,0.525,0.196,0.321
"P14","Ni de acuerdo ni en desacuerdo",0.146,0.369,0.203,0.132
"P14","En desacuerdo",0.036,0.069,0.548,0.055
"P14","No sabe",0.013,0.037,0.053,0.492
"P15","De acuerdo",0.733,0.561,0.274,0.38
"P15","Ni de acuerdo ni en desacuerdo",0.204,0.301,0.152,0.202
"P15","En desacuerdo",0.049,0.071,0.497,0.107
"P15","No sabe",0.014,0.067,0.077,0.311
"P16","De acuerdo",0.896,0.732,0.306,0.356
"P16","Ni de acuerdo ni en desacuerdo",0.065,0.185,0.158,0.107
"P16","En desacuerdo",0.024,0.04,0.457,0.033
"P16","No sabe",0.015,0.043,0.079,0.504
"P18","De acuerdo",0.789,0.197,0.036,0.077
"P18","Ni de acuerdo ni en desacuerdo",0.146,0.645,0.074,0.028
"P18","En desacuerdo",0.04,0.1,0.852,0.182
"P18","No sabe",0.025,0.058,0.038,0.713
"P19","De acuerdo",0.92,0.519,0.088,0.139
"P19","Ni de acuerdo ni en desacuerdo",0.041,0.365,0.056,0.138
"P19","En desacuerdo",0.037,0.09,0.842,0.159
"P19","No sabe",0.002,0.026,0.014,0.564
"P20","De acuerdo",0.863,0.451,0.071,0.144
"P20","Ni de acuerdo ni en desacuerdo",0.09,0.407,0.12,0.156
"P20","En desacuerdo",0.032,0.104,0.778,0.151
"P20","No sabe",0.015,0.038,0.031,0.549
"P21","De acuerdo",0.858,0.516,0.114,0.188
"P21","Ni de acuerdo ni en desacuerdo",0.081,0.305,0.085,0.149
"P21","En desacuerdo",0.042,0.162,0.783,0.186
"P21","No sabe",0.019,0.017,0.018,0.477
"P22","Si",0.447,0.392,0.563,0.43
"P22","No",0.366,0.304,0.163,0.139
"P22","No sabe",0.187,0.304,0.274,0.431
"P23","Si",0.688,0.392,0.111,0.208
"P23","No",0.228,0.493,0.771,0.651
"P23","No sabe",0.084,0.115,0.118,0.141
"P24","Si",0.595,0.299,0.077,0.064
"P24","No",0.302,0.513,0.809,0.775
"P24","No sabe",0.103,0.188,0.114,0.161
"P25","Si",0.646,0.337,0.128,0.077
"P25","No",0.271,0.502,0.786,0.736
"P25","No sabe",0.083,0.161,0.086,0.187
"P26","A favor",0.894,0.641,0.153,0.266
"P26","En contra",0.058,0.143,0.715,0.409
"P26","No sabe",0.048,0.216,0.132,0.325
