"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.189,0.25,0.255,0.129
"P08","Casi siempre",0.334,0.301,0.378,0.423
"P08","Casi nunca",0.341,0.348,0.277,0.268
"P08","Nunca, pero esta es una excepción",0.136,0.101,0.09,0.18
"P09","Muy de acuerdo",0.573,0.263,0.044,0.066
"P09","De acuerdo",0.263,0.195,0.054,0.101
"P09","Ni de acuerdo ni en desacuerdo",0.103,0.375,0.166,0.364
"P09","En desacuerdo",0.038,0.066,0.314,0.375
"P09","Muy en desacuerdo",0.009,0.095,0.403,0.026
"P09","No sabe",0.014,0.006,0.019,0.068
"P10","De acuerdo",0.802,0.374,0.127,0.166
"P10","Ni de acuerdo ni en desacuerdo",0.126,0.313,0.175,0.226
"P10","En desacuerdo",0.031,0.222,0.578,0.07
"P10","No sabe",0.041,0.091,0.12,0.538
"P11","De acuerdo",0.84,0.585,0.218,0.408
"P11","Ni de acuerdo ni en desacuerdo",0.111,0.219,0.251,0.193
"P11","En desacuerdo",0.037,0.157,0.423,0.172
"P11","No sabe",0.012,0.039,0.108,0.227
"P12","De acuerdo",0.938,0.718,0.246,0.441
"P12","Ni de acuerdo ni en desacuerdo",0.036,0.152,0.276,0.138
"P12","En desacuerdo",0.017,0.083,0.362,0.234
"P12","No sabe",0.009,0.047,0.116,0.187
"P13","De acuerdo",0.801,0.424,0.107,0.212
"P13","Ni de acuerdo ni en desacuerdo",0.16,0.386,0.264,0.232
"P13","En desacuerdo",0.025,0.087,0.537,0.096
"P13","No sabe",0.014,0.103,0.092,0.46
"P14","De acuerdo",0.79,0.396,0.17,0.222
"P14","Ni de acuerdo ni en desacuerdo",0.158,0.445,0.197,0.195
"P14","En desacuerdo",0.04,0.093,0.581,0.059
"P14","No sabe",0.012,0.066,0.052,0.524
"P15","De acuerdo",0.711,0.504,0.261,0.317
"P15","Ni de acuerdo ni en desacuerdo",0.21,0.306,0.15,0.225
"P15","En desacuerdo",0.06,0.105,0.52,0.067
"P15","No sabe",0.019,0.085,0.069,0.391
"P16","De acuerdo",0.885,0.674,0.259,0.375
"P16","Ni de acuerdo ni en desacuerdo",0.072,0.19,0.175,0.112
"P16","En desacuerdo",0.029,0.078,0.479,0.068
"P16","No sabe",0.014,0.058,0.087,0.445
"P17","De acuerdo",0.766,0.174,0.042,0.025
"P17","Ni de acuerdo ni en desacuerdo",0.154,0.55,0.036,0.127
"P17","En desacuerdo",0.07,0.227,0.907,0.181
"P17","No sabe",0.01,0.049,0.015,0.667
"P18","De acuerdo",0.717,0.104,0.012,0.081
"P18","Ni de acuerdo ni en desacuerdo",0.199,0.601,0.071,0.077
"P18","En desacuerdo",0.053,0.194,0.894,0.055
"P18","No sabe",0.031,0.101,0.023,0.787
"P20","De acuerdo",0.856,0.202,0.029,0.036
"P20","Ni de acuerdo ni en desacuerdo",0.104,0.653,0.082,0.15
"P20","En desacuerdo",0.024,0.115,0.853,0.177
"P20","No sabe",0.016,0.03,0.036,0.637
"P21","De acuerdo",0.862,0.319,0.053,0.133
"P21","Ni de acuerdo ni en desacuerdo",0.092,0.447,0.064,0.122
"P21","En desacuerdo",0.035,0.189,0.865,0.145
"P21","No sabe",0.011,0.045,0.018,0.6
"P22","Si",0.447,0.371,0.572,0.403
"P22","No",0.363,0.264,0.154,0.103
"P22","No sabe",0.19,0.365,0.274,0.494
"P23","Si",0.663,0.198,0.109,0.165
"P23","No",0.253,0.612,0.785,0.688
"P23","No sabe",0.084,0.19,0.106,0.147
"P24","Si",0.577,0.194,0.045,0.036
"P24","No",0.319,0.549,0.852,0.741
"P24","No sabe",0.104,0.257,0.103,0.223
"P25","Si",0.631,0.236,0.086,0.071
"P25","No",0.29,0.563,0.823,0.714
"P25","No sabe",0.079,0.201,0.091,0.215
"P26","A favor",0.884,0.492,0.114,0.162
"P26","En contra",0.059,0.221,0.754,0.478
"P26","No sabe",0.057,0.287,0.132,0.36
