"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.485,0.513,0.456,0.454,0.52,0.487,0.436,0.443,0.466,0.541,0.472,0.559,0.416,0.428,0.531,0.524,0.443,0.48,0.559,0.46
"No",0.269,0.276,0.262,0.296,0.269,0.234,0.284,0.249,0.269,0.284,0.327,0.217,0.3,0.236,0.272,0.216,0.324,0.365,0.226,0.25
"No sabe",0.246,0.211,0.282,0.25,0.211,0.279,0.28,0.308,0.265,0.175,0.201,0.224,0.284,0.336,0.197,0.26,0.233,0.155,0.215,0.29
