"var","categoria","Fernando Moreira a intendente por Unión por la Patria","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.068,0.169,0.89,0.047,0.029,0.12
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.022,0.001,0.007,0.819,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.001,0.002,0,0.301,0.043
"PRESIDENTE","En blanco",0.001,0,0.01,0,0.413,0
"PRESIDENTE","No sabe",0.007,0.002,0.011,0,0,0.585
"CORTA_PRESIDENTE","Si",0.209,0.224,0.091,0.077,0.367,0.391
"CORTA_PRESIDENTE","No",0.791,0.776,0.909,0.923,0.633,0.609
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.829,0.062,0.061,0.047,0.112,0.13
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.077,0.774,0.06,0.014,0.096,0.076
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.053,0.136,0.85,0.177,0.011,0.033
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.019,0,0.018,0.762,0,0
"GOBERNADOR","En blanco",0.003,0.003,0,0,0.781,0
"GOBERNADOR","No sabe",0.019,0.025,0.011,0,0,0.761
"CORTA_GOBERNADOR","Si",0.202,0.238,0.141,0.338,0.318,0.396
"CORTA_GOBERNADOR","No",0.798,0.762,0.859,0.662,0.682,0.604
"CORTA_INTENDENTE","Si",0.215,0.24,0.121,0.178,0.517,0.45
"CORTA_INTENDENTE","No",0.785,0.76,0.879,0.822,0.483,0.55
