"var","categoria","Fernando Moreira a intendente por Unión por la Patria","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco"
"P27","Tiene Decidido que va a ir a votar",0.919,0.889,0.97,0.684,0.778
"P27","Tiene dudas sobre si va a ir a  votar",0.058,0.082,0.01,0.073,0.126
"P27","Tiene Decidido que no va a ir a votar",0.023,0.029,0.02,0.243,0.096
"P28","Lo votaría",0.685,0.172,0.501,0.142,0.258
"P28","Puede que lo vote",0.086,0.08,0.062,0.059,0.149
"P28","Nunca lo votaría",0.204,0.728,0.41,0.56,0.425
"P28","No sabe",0.025,0.02,0.027,0.239,0.168
"P29","Lo votaría",0.259,0.536,0.117,0,0.311
"P29","Puede que lo vote",0.108,0.194,0.106,0.041,0.242
"P29","Nunca lo votaría",0.592,0.244,0.757,0.873,0.387
"P29","No sabe",0.041,0.026,0.02,0.086,0.06
"P30","Lo votaría",0.101,0.342,0.382,0,0.26
"P30","Puede que lo vote",0.082,0.221,0.051,0.138,0.112
"P30","Nunca lo votaría",0.773,0.393,0.544,0.775,0.445
"P30","No sabe",0.044,0.044,0.023,0.087,0.183
"P31","Si",0.411,0.38,0.417,0.287,0.366
"P31","No",0.589,0.62,0.583,0.713,0.634
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.826,0.059,0.045,0.166,0.165
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.068,0.764,0.064,0.013,0.062
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.071,0.174,0.869,0.044,0.026
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.022,0.001,0.007,0.777,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.012,0.002,0.005,0,0.382
"PRESIDENTE_imputada","En blanco",0.001,0,0.01,0,0.365
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.827,0.07,0.084,0.044,0.099
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.101,0.787,0.066,0.014,0.085
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.051,0.14,0.833,0.22,0.065
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.018,0,0.017,0.722,0
"GOBERNADOR_imputada","En blanco",0.003,0.003,0,0,0.751
