"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Fernando Moreira a intendente por Unión por la Patria",0.356,0.371,0.34,0.335,0.413,0.322,0.309,0.357,0.324,0.403,0.727,0.487,0.119,0.046,0.056,0.315,0.372,0.384
"Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.383,0.351,0.415,0.263,0.383,0.429,0.407,0.392,0.399,0.351,0.167,0.202,0.689,0.803,0.513,0.436,0.381,0.319
"Hernán Sardella a intendente por la Libertad Avanza",0.102,0.154,0.05,0.192,0.065,0.098,0.113,0.103,0.077,0.139,0.061,0.091,0.085,0.084,0.391,0.102,0.103,0.1
"El candidato del Frente de Izquierda",0.022,0.014,0.03,0.059,0,0.04,0.014,0.041,0.017,0.011,0.008,0.028,0,0,0,0.017,0.002,0.055
"En blanco",0.025,0.031,0.019,0,0.027,0.041,0.019,0.021,0.035,0.013,0,0.078,0.064,0.004,0,0.04,0.02,0.015
"No sabe",0.112,0.079,0.146,0.151,0.112,0.07,0.138,0.086,0.148,0.083,0.037,0.114,0.043,0.063,0.04,0.09,0.122,0.127
