"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Axel Kicillof a gobernador por Unión por la Patria",0.359,0.335,0.38,0.367,0.306,0.428,0.363,0.348,0.366,0.359,0.589,0.464,0.203,0.186,0.027,0.35,0.333,0.401
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.279,0.267,0.291,0.277,0.241,0.281,0.348,0.225,0.297,0.309,0.088,0.218,0.687,0.512,0.298,0.294,0.301,0.235
"Carolina Piparo a gobernadora por la Libertad Avanza",0.235,0.294,0.181,0.22,0.304,0.191,0.173,0.296,0.192,0.236,0.24,0.255,0.067,0.182,0.587,0.217,0.24,0.25
"El candidato a gobernador de la Izquierda",0.025,0.029,0.022,0.015,0.031,0.018,0.029,0.025,0.021,0.031,0.016,0.034,0.002,0.009,0.024,0.017,0.036,0.022
"En blanco",0.028,0.027,0.028,0.063,0.028,0.02,0.014,0.024,0.037,0.018,0.009,0.014,0.024,0.028,0.06,0.038,0.036,0.005
"No sabe",0.074,0.048,0.098,0.058,0.09,0.062,0.073,0.082,0.087,0.047,0.058,0.015,0.017,0.083,0.004,0.084,0.054,0.087
