"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.267,0.253,0.28,0.261,0.289,0.251,0.253,0.297,0.268,0.236,0.251,0.257,0.154,0.284,0.162,0.249,0.272,0.285
"No",0.733,0.747,0.72,0.739,0.711,0.749,0.747,0.703,0.732,0.764,0.749,0.743,0.846,0.716,0.838,0.751,0.728,0.715
