"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.488,0.529,0.616,0.437,0.803,0.243
"P05","Bastante",0.298,0.354,0.289,0.416,0.197,0.306
"P05","Poco",0.127,0.11,0.078,0.093,0,0.32
"P05","Nada",0.075,0.007,0.014,0.054,0,0.103
"P05","No sabe",0.012,0,0.003,0,0,0.028
"P06","Siempre",0.243,0.25,0.234,0.233,0.297,0.152
"P06","Casi siempre",0.323,0.376,0.423,0.289,0.336,0.295
"P06","Casi nunca",0.252,0.258,0.276,0.291,0.367,0.404
"P06","Nunca, pero esta es una excepción",0.182,0.116,0.067,0.187,0,0.149
"P09","Unión por la Patria",0.137,0.366,0.714,0.689,0.595,0.183
"P09","Juntos por el Cambio",0.374,0.41,0.126,0.104,0.012,0.326
"P09","De los Liberales libertarios",0.333,0.121,0.051,0.079,0.043,0.089
"P09","De la Izquierda",0.035,0.027,0.04,0.006,0.171,0.045
"P09","Hacemos por nuestro país",0.03,0.01,0.009,0,0.013,0.013
"P09","Otro",0.062,0.02,0.009,0.044,0.166,0.091
"P09","En blanco",0.005,0.018,0.014,0.053,0,0.022
"P09","No sabe",0.024,0.028,0.037,0.025,0,0.231
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.209,0.345,0.544,0.603,0.218,0.154
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.402,0.384,0.089,0.046,0.043,0.242
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.287,0.215,0.291,0.326,0.141,0.21
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.009,0.045,0.008,0.322,0.007
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.028,0.003,0.002,0.005,0.014,0.013
"P12","En blanco",0.017,0.014,0.013,0.006,0.111,0.108
"P12","No sabe",0.051,0.03,0.016,0.006,0.151,0.266
"P15","Si",0.436,0.358,0.339,0.245,0.605,0.526
"P15","No",0.564,0.642,0.661,0.755,0.395,0.474
"P16","Sergio Massa a presidente por Unión por la Patria",0.157,0.199,0.556,0.67,0.355,0.365
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.31,0.579,0.167,0.268,0,0.08
"P16","Javier Milei a presidente por la Libertad Avanza",0.474,0.124,0.1,0,0.324,0.263
"P16","Los candidatos a presidente de la Izquierda",0.009,0.045,0.107,0.04,0.079,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.009,0.004,0,0.023,0.033
"P16","En blanco",0,0,0.004,0,0.199,0
"P16","No sabe",0.028,0.044,0.062,0.022,0.02,0.259
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.178,0.223,0.485,0.564,0.898,0.18
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.338,0.61,0.187,0.269,0,0.352
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.282,0.111,0.175,0.082,0.023,0.014
"P19","El candidato a gobernador de la Izquierda",0.026,0,0.103,0.063,0.079,0
"P19","En blanco",0.01,0.005,0.012,0,0,0.044
"P19","No sabe",0.166,0.051,0.038,0.022,0,0.41
"P22","Fernando Moreira a intendente por Unión por la Patria",0.255,0.389,0.479,0.584,0.369,0.307
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.467,0.435,0.303,0.136,0,0.188
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.136,0.078,0.052,0.179,0.216,0.044
"P22","El candidato del Frente de Izquierda",0.007,0,0.056,0.019,0.159,0
"P22","En blanco",0.028,0.023,0.005,0,0.023,0.112
"P22","No sabe",0.107,0.075,0.105,0.082,0.233,0.349
"P26","Totalmente seguro",0.795,0.642,0.687,0.455,0.95,0.461
"P26","Bastante seguro",0.098,0.239,0.118,0.483,0.037,0.157
"P26","Algo seguro",0.057,0.105,0.134,0.024,0,0.096
"P26","Para nada seguro",0.05,0.014,0.061,0.038,0.013,0.286
"P27","Tiene Decidido que va a ir a votar",0.901,0.91,0.941,0.936,0.986,0.78
"P27","Tiene dudas sobre si va a ir a  votar",0.069,0.05,0.034,0.035,0.014,0.183
"P27","Tiene Decidido que no va a ir a votar",0.03,0.04,0.025,0.029,0,0.037
"P28","Lo votaría",0.243,0.433,0.755,0.759,0.371,0.284
"P28","Puede que lo vote",0.079,0.048,0.072,0.048,0.44,0.137
"P28","Nunca lo votaría",0.661,0.502,0.127,0.18,0.189,0.412
"P28","No sabe",0.017,0.017,0.046,0.013,0,0.167
"P29","Lo votaría",0.391,0.444,0.203,0.099,0.011,0.16
