"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.536,0.46,0.53,0.508,0.34,0.531
"P05","Bastante",0.3,0.341,0.287,0.23,0.469,0.072
"P05","Poco",0.103,0.162,0.122,0.223,0.114,0.131
"P05","Nada",0.052,0.027,0.042,0,0.077,0.211
"P05","No sabe",0.009,0.01,0.019,0.039,0,0.055
"P06","Siempre",0.212,0.25,0.229,0.108,0.15,0.246
"P06","Casi siempre",0.354,0.373,0.334,0.359,0.11,0.33
"P06","Casi nunca",0.263,0.237,0.29,0.493,0.348,0.329
"P06","Nunca, pero esta es una excepción",0.171,0.14,0.147,0.04,0.392,0.095
"P09","Unión por la Patria",0.607,0.074,0.436,0.017,0.023,0.107
"P09","Juntos por el Cambio",0.251,0.527,0.084,0,0,0.227
"P09","De los Liberales libertarios",0.068,0.274,0.299,0.039,0.043,0.066
"P09","De la Izquierda",0.01,0.036,0.025,0.637,0,0.009
"P09","Hacemos por nuestro país",0.001,0.01,0.02,0.011,0.408,0.011
"P09","Otro",0.027,0.022,0.054,0.133,0.449,0.098
"P09","En blanco",0.008,0.034,0.023,0.012,0,0.069
"P09","No sabe",0.028,0.023,0.059,0.151,0.077,0.413
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.464,0.069,0.475,0.036,0,0.438
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.315,0.672,0.096,0.054,0.161,0.072
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.167,0.248,0.394,0.217,0.37,0.277
"P16_imputada","Los candidatos a presidente de la Izquierda",0.045,0.011,0.004,0.693,0.019,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0,0.028,0,0.45,0.027
"P16_imputada","En blanco",0,0,0.003,0,0,0.186
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.461,0.088,0.394,0.248,0.025,0.923
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.332,0.64,0.273,0.051,0.415,0.051
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.153,0.249,0.28,0.229,0.415,0
