"var","categoria","Si","No"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.365,0.383
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.305,0.275
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.271,0.282
"P12_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.021
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.018
"P12_imputada","En blanco",0.029,0.021
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.255,0.36
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.362,0.281
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.325,0.276
"P16_imputada","Los candidatos a presidente de la Izquierda",0.049,0.031
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.039
"P16_imputada","En blanco",0,0.013
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.292,0.38
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.382,0.375
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.274,0.195
"P19_imputada","El candidato a gobernador de la Izquierda",0.051,0.034
"P19_imputada","En blanco",0.001,0.016
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.4,0.426
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.454,0.397
"P22_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.118,0.122
"P22_imputada","El candidato del Frente de Izquierda",0.017,0.014
"P22_imputada","En blanco",0.011,0.041
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.38,0.389
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.268,0.294
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.311,0.271
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.023,0.021
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.018
"PRESIDENTE_imputada","En blanco",0.013,0.007
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.392,0.4
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.277,0.326
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.293,0.24
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.023,0.022
"GOBERNADOR_imputada","En blanco",0.015,0.012
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.437,0.417
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.305,0.332
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.231,0.215
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.009,0.015
"INTENDENTE_imputada","En blanco",0.018,0.021
