"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"GOBERNADOR","En blanco",0.021,0.016,0.062,0.066,0.144
"GOBERNADOR","No sabe",0.037,0.095,0.081,0.296,0.327
"CORTA_GOBERNADOR","Si",0.25,0.293,0.27,0.267,0.286
"CORTA_GOBERNADOR","No",0.75,0.707,0.73,0.733,0.714
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.417,0.382,0.344,0.183,0.083
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.273,0.369,0.327,0.153,0.055
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.227,0.161,0.17,0.214,0.264
"INTENDENTE","El candidato del Frente de Izquierda",0.015,0.021,0.033,0,0.073
"INTENDENTE","En blanco",0.021,0.016,0.081,0.057,0.147
"INTENDENTE","No sabe",0.047,0.051,0.045,0.393,0.378
"CORTA_INTENDENTE","Si",0.26,0.295,0.283,0.331,0.284
"CORTA_INTENDENTE","No",0.74,0.705,0.717,0.669,0.716
