"var","categoria","Fernando Moreira a intendente por Unión por la Patria","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.485,0.451,0.584,0.17,0.179,0.491
"P05","Bastante",0.377,0.433,0.267,0.417,0.34,0.147
"P05","Poco",0.119,0.093,0.119,0.413,0.448,0.04
"P05","Nada",0.019,0.018,0.03,0,0.033,0.305
"P05","No sabe",0,0.005,0,0,0,0.017
"P06","Siempre",0.217,0.185,0.38,0,0.336,0.104
"P06","Casi siempre",0.303,0.465,0.239,0.344,0.213,0.36
"P06","Casi nunca",0.332,0.294,0.257,0.656,0.167,0.242
"P06","Nunca, pero esta es una excepción",0.148,0.056,0.124,0,0.284,0.294
"P09","Unión por la Patria",0.535,0.068,0.191,0.042,0.357,0.264
"P09","Juntos por el Cambio",0.221,0.539,0.241,0.139,0.367,0.198
"P09","De los Liberales libertarios",0.118,0.28,0.385,0.124,0,0.069
"P09","De la Izquierda",0.04,0.026,0.02,0.282,0,0.018
"P09","Hacemos por nuestro país",0.023,0.046,0.009,0,0,0
"P09","Otro",0.044,0.003,0.085,0.031,0.031,0.115
"P09","En blanco",0.003,0.022,0.062,0,0.141,0
"P09","No sabe",0.016,0.016,0.007,0.382,0.104,0.336
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.387,0.234,0.181,0.181,0.086,0.132
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.15,0.503,0.308,0.124,0.367,0.125
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.311,0.219,0.382,0.039,0.304,0.161
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.058,0.009,0,0.625,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.017,0.009,0.031,0.031,0.083
"P12","En blanco",0.04,0.004,0.064,0,0,0.128
"P12","No sabe",0.034,0.014,0.056,0,0.212,0.371
"P16","Sergio Massa a presidente por Unión por la Patria",0.505,0.13,0.153,0.22,0.625,0.269
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.204,0.5,0.242,0.031,0.24,0.105
"P16","Javier Milei a presidente por la Libertad Avanza",0.2,0.362,0.442,0.124,0.104,0.212
"P16","Los candidatos a presidente de la Izquierda",0.065,0.002,0.034,0.625,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.008,0.002,0.009,0,0.031,0.083
"P16","En blanco",0.003,0,0.064,0,0,0
"P16","No sabe",0.015,0.004,0.056,0,0,0.331
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.494,0.135,0.328,0.124,0.357,0.202
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.233,0.517,0.308,0.031,0.367,0.132
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.158,0.289,0.21,0.424,0.031,0.056
"P19","El candidato a gobernador de la Izquierda",0.06,0,0.098,0.421,0,0
"P19","En blanco",0.008,0.005,0,0,0.245,0
"P19","No sabe",0.047,0.054,0.056,0,0,0.61
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.31,0.534,0.571,0.136,0.472,0.39
