"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.43,0.432,0.427,0.437,0.437,0.396,0.453,0.458,0.417,0.418,0.391,0.411,0.363,0.553,0.27,0.428,0.425,0.437
"No",0.57,0.568,0.573,0.563,0.563,0.604,0.547,0.542,0.583,0.582,0.609,0.589,0.637,0.447,0.73,0.572,0.575,0.563
