"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente por Unión por la Patria",0.377,0.334,0.415,0.326,0.335,0.445,0.411,0.366,0.401,0.351,0.576,0.491,0.215,0.19,0.04,0.378,0.358,0.398
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.298,0.273,0.319,0.327,0.239,0.299,0.382,0.251,0.325,0.305,0.117,0.245,0.655,0.508,0.284,0.325,0.262,0.306
"Javier Milei a presidente por la Libertad Avanza",0.263,0.333,0.2,0.224,0.351,0.215,0.185,0.331,0.204,0.279,0.264,0.229,0.098,0.265,0.632,0.234,0.304,0.249
"Los candidatos a presidente de la Izquierda",0.027,0.023,0.031,0.041,0.034,0.015,0.019,0.037,0.014,0.039,0.027,0.015,0.002,0.011,0,0.028,0.029,0.025
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.021,0.02,0.023,0.035,0.013,0,0.015,0.029,0.012,0.012,0,0.003,0.02,0.044,0.015,0.027,0.017
"En blanco",0.015,0.016,0.015,0.059,0.006,0.013,0.003,0,0.027,0.014,0.004,0.02,0.027,0.006,0,0.02,0.02,0.005
